countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft,res,countGenderMixHardBest,countIncompatibleRoomsHardBest,countOvercrowdedCapacityHardBest,countUnadmittedMandatoryHardBest,countLateAdmittedMandatoryHardBest,countSurgeonOvertimeHardBest,countOTOvertimeHardBest,countUncoveredRoomHardBest,countNursePresentOnWrongDayHardBest,countMixedAgeGroupsBest,countMinimumSkillLevelExceededBest,countUncontinuousCareBest,countMaximumWorkloadExcceededBest,countOpenOTsBest,countSurgeonTransferBest,countAdmissionDelayBest,countUncheduledOptionalBest,countTotalHardBest,countTotalSoftBest,resBest,actualTemp
77,0,89,0,0,0,1,0,0,67,1459,382,6587,17,28,57,0,167,8597,5046334.000000,77,0,89,0,0,0,0,0,0,67,1459,382,6587,16,28,57,0,166,8596,5016314.000000,600.000000
76,0,88,0,0,0,0,0,0,67,1459,382,6587,16,28,57,0,164,8596,4956314.000000,76,0,88,0,0,0,0,0,0,67,1459,382,6587,16,28,57,0,164,8596,4956314.000000,600.000000
74,0,86,0,0,0,0,0,0,63,1459,382,6587,16,28,57,0,160,8592,4836294.000000,74,0,86,0,0,0,0,0,0,63,1459,382,6587,16,28,57,0,160,8592,4836294.000000,600.000000
76,0,89,0,0,1,0,0,0,67,1439,380,6453,16,28,63,0,166,8446,5015712.000000,74,0,86,0,0,0,0,0,0,63,1459,382,6587,16,28,57,0,160,8592,4836294.000000,600.000000
75,0,89,0,0,0,0,0,0,65,1471,383,6587,16,28,63,0,164,8613,4956407.000000,74,0,86,0,0,0,0,0,0,63,1459,382,6587,16,28,57,0,160,8592,4836294.000000,600.000000
75,0,89,0,0,0,1,0,0,65,1471,383,6587,17,28,63,0,165,8614,4986427.000000,74,0,86,0,0,0,0,0,0,63,1459,382,6587,16,28,57,0,160,8592,4836294.000000,597.000000
76,0,89,0,0,0,0,0,0,65,1471,383,6587,16,28,63,0,165,8613,4986407.000000,74,0,86,0,0,0,0,0,0,63,1459,382,6587,16,28,57,0,160,8592,4836294.000000,597.000000
73,0,89,0,0,0,0,0,0,65,1471,383,6587,16,28,63,0,162,8613,4896407.000000,74,0,86,0,0,0,0,0,0,63,1459,382,6587,16,28,57,0,160,8592,4836294.000000,597.000000
74,0,88,0,0,0,0,0,0,64,1471,383,6587,16,28,63,0,162,8612,4896402.000000,74,0,86,0,0,0,0,0,0,63,1459,382,6587,16,28,57,0,160,8592,4836294.000000,597.000000
74,0,89,0,0,0,0,0,0,65,1454,383,6516,16,28,64,0,163,8526,4926050.000000,74,0,86,0,0,0,0,0,0,63,1459,382,6587,16,28,57,0,160,8592,4836294.000000,597.000000
72,0,93,0,0,1,0,12,0,65,1466,380,6477,16,28,67,0,178,8499,5375909.000000,74,0,86,0,0,0,0,0,0,63,1459,382,6587,16,28,57,0,160,8592,4836294.000000,597.000000
72,0,89,0,0,0,1,9,0,65,1465,378,6545,17,28,70,0,171,8568,5166311.000000,74,0,86,0,0,0,0,0,0,63,1459,382,6587,16,28,57,0,160,8592,4836294.000000,597.000000
79,0,89,0,0,0,0,0,0,64,1491,382,6587,16,28,69,0,168,8637,5076511.000000,74,0,86,0,0,0,0,0,0,63,1459,382,6587,16,28,57,0,160,8592,4836294.000000,597.000000
74,0,88,0,0,0,0,0,0,69,1486,381,6587,16,28,69,0,162,8636,4896530.000000,74,0,86,0,0,0,0,0,0,63,1459,382,6587,16,28,57,0,160,8592,4836294.000000,597.000000
74,0,88,0,0,0,0,0,0,69,1486,381,6587,17,28,69,0,162,8637,4896550.000000,74,0,86,0,0,0,0,0,0,63,1459,382,6587,16,28,57,0,160,8592,4836294.000000,594.015000
74,3,88,0,0,0,0,0,0,69,1486,381,6587,16,28,69,0,165,8636,4986530.000000,74,0,86,0,0,0,0,0,0,63,1459,382,6587,16,28,57,0,160,8592,4836294.000000,594.015000
69,0,86,0,0,0,0,6,0,65,1471,380,6527,16,28,69,0,161,8556,4866194.000000,74,0,86,0,0,0,0,0,0,63,1459,382,6587,16,28,57,0,160,8592,4836294.000000,594.015000
70,0,88,0,0,0,0,0,0,65,1486,381,6587,16,28,69,0,158,8632,4776510.000000,70,0,88,0,0,0,0,0,0,65,1486,381,6587,16,28,69,0,158,8632,4776510.000000,594.015000
74,0,88,0,0,1,0,0,0,69,1511,381,6587,16,28,74,0,163,8666,4926630.000000,70,0,88,0,0,0,0,0,0,65,1486,381,6587,16,28,69,0,158,8632,4776510.000000,594.015000
75,0,88,0,0,0,0,0,0,69,1484,382,6587,16,28,70,0,163,8636,4926544.000000,70,0,88,0,0,0,0,0,0,65,1486,381,6587,16,28,69,0,158,8632,4776510.000000,594.015000
75,0,88,0,0,0,0,0,0,69,1484,382,6587,17,28,70,0,163,8637,4926564.000000,70,0,88,0,0,0,0,0,0,65,1486,381,6587,16,28,69,0,158,8632,4776510.000000,591.044925
74,0,87,0,0,0,0,0,0,68,1484,382,6587,16,28,70,0,161,8635,4866539.000000,70,0,88,0,0,0,0,0,0,65,1486,381,6587,16,28,69,0,158,8632,4776510.000000,591.044925
71,0,88,0,0,0,0,0,0,65,1484,382,6587,16,28,70,0,159,8632,4806524.000000,70,0,88,0,0,0,0,0,0,65,1486,381,6587,16,28,69,0,158,8632,4776510.000000,591.044925
72,0,90,0,0,0,0,6,0,66,1476,379,6483,16,28,70,0,168,8518,5075998.000000,70,0,88,0,0,0,0,0,0,65,1486,381,6587,16,28,69,0,158,8632,4776510.000000,591.044925
72,0,88,0,0,1,1,9,0,69,1478,377,6545,17,28,76,0,171,8590,5166433.000000,70,0,88,0,0,0,0,0,0,65,1486,381,6587,16,28,69,0,158,8632,4776510.000000,591.044925
