countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft, res
58,36,116,0,0,13,6,268,0,62,310,356,1931,28,56,389,8,497,3140,24865286.000000
60,23,114,0,0,14,3,204,0,67,431,487,2505,30,56,437,8,418,4021,20917421.000000
67,50,123,0,0,13,3,230,0,74,462,537,3372,30,56,438,8,486,4977,24318619.000000
66,37,121,0,0,11,3,226,0,69,387,556,3204,32,56,410,8,464,4722,23218066.000000
70,19,117,0,0,16,5,234,0,72,415,511,2983,29,56,448,8,461,4522,23068173.000000
46,44,101,0,0,17,5,221,0,65,360,364,1709,28,56,481,13,434,3076,21719049.000000
67,42,121,0,0,15,5,237,0,71,674,549,3674,29,56,415,8,487,5476,24368813.000000
75,15,115,0,0,12,4,222,0,73,334,479,2653,30,56,441,6,443,4072,22166522.000000
65,23,110,0,0,16,3,226,0,65,435,433,2338,28,56,490,11,443,3856,22169233.000000
68,44,121,0,0,16,7,222,0,83,340,552,3419,30,56,451,7,478,4938,23918359.000000
74,30,111,0,0,15,7,233,0,61,342,393,2261,28,56,421,11,470,3573,23517808.000000
72,22,124,0,0,18,5,241,0,60,471,464,3117,30,56,459,9,482,4666,24118753.000000
67,46,117,0,0,14,3,227,0,59,403,459,2349,30,56,470,9,474,3835,23718052.000000
68,46,126,0,0,19,4,245,0,53,421,524,3251,30,56,447,6,508,4788,25417422.000000
63,55,113,0,0,15,5,214,0,60,595,504,3019,26,56,457,9,465,4726,23268869.000000
69,32,115,0,0,12,5,242,0,60,357,394,2156,29,56,438,13,475,3503,23768993.000000
65,30,118,0,0,16,6,202,0,58,457,577,3397,29,56,472,5,437,5051,21867749.000000
70,23,115,0,0,17,5,219,0,66,612,505,3385,30,56,474,5,449,5133,22467622.000000
77,35,133,0,0,18,6,247,0,65,428,532,3398,32,56,465,7,516,4983,25818486.000000
69,39,122,0,0,15,5,226,0,58,533,599,3935,32,56,434,3,476,5650,23816963.000000
57,21,108,0,0,12,3,233,0,51,358,467,2507,31,56,422,13,434,3905,21719465.000000
75,53,121,0,0,15,4,259,0,75,316,397,2596,28,56,458,7,527,3933,26366762.000000
58,22,117,0,0,10,3,205,0,68,476,589,3293,31,56,383,12,415,4908,20769979.000000
50,49,106,0,0,14,4,208,0,63,375,463,2896,27,56,473,11,431,4364,21569596.000000
61,57,117,0,0,16,4,211,0,76,372,514,2716,30,56,441,8,466,4213,23317813.000000
61,30,114,0,0,12,7,232,0,69,351,456,2391,28,56,457,11,456,3819,22818842.000000
65,33,128,0,0,13,4,238,0,73,363,477,2332,31,56,458,11,481,3801,24068995.000000
62,22,110,0,0,18,4,232,0,60,319,446,2594,32,56,499,8,448,4014,22418128.000000
69,37,123,0,0,16,6,256,0,59,406,469,2802,33,56,419,6,507,4250,25366353.000000
60,23,121,0,0,19,3,245,0,70,424,434,2446,30,56,385,15,471,3860,23569825.000000
74,20,128,0,0,15,4,223,0,64,518,522,3387,30,56,492,5,464,5074,23217875.000000
68,40,116,0,0,16,3,240,0,63,365,424,2675,29,56,443,12,483,4067,24169260.000000
73,32,127,0,0,14,3,261,0,79,358,488,2950,31,56,422,6,510,4390,25516653.000000
80,33,119,0,0,14,4,254,0,73,632,482,3171,29,56,387,5,504,4835,25216023.000000
78,23,129,0,0,14,6,265,0,62,380,462,2621,31,56,448,5,515,4065,25766021.000000
70,16,121,0,0,17,5,241,0,69,394,473,2776,29,56,421,8,470,4226,23517335.000000
62,51,119,0,0,17,5,243,0,70,333,434,2683,30,56,450,6,497,4062,24866446.000000
73,34,123,0,0,15,5,251,0,72,379,435,2528,30,56,417,8,501,3925,25066857.000000
56,24,109,0,0,12,5,237,0,54,362,388,2012,29,56,460,10,443,3371,22167624.000000
71,43,115,0,0,14,5,233,0,76,373,432,2513,31,56,420,10,481,3911,24067906.000000
69,29,108,0,0,13,4,215,0,66,732,518,3298,30,56,437,8,438,5145,21918665.000000
65,49,123,0,0,15,5,237,0,64,331,414,2459,28,56,415,14,494,3781,24719525.000000
59,25,115,0,0,13,4,257,0,64,270,359,1728,31,56,421,10,473,2939,23666608.000000
53,12,120,0,0,16,4,237,0,65,330,438,2262,30,56,487,9,442,3677,22118072.000000
54,10,116,0,0,16,4,221,0,66,400,461,2979,30,56,412,14,421,4418,21070354.000000
66,45,111,0,0,12,4,232,0,56,443,399,2111,30,56,456,7,470,3558,23516329.000000
67,40,123,0,0,16,2,252,0,78,535,467,2682,31,56,454,4,500,4307,25015932.000000
69,52,123,0,0,14,5,239,0,68,386,479,2473,30,56,463,7,502,3962,25117199.000000
60,20,116,0,0,17,4,225,0,60,388,492,3060,29,56,443,11,442,4539,22119493.000000
66,23,127,0,0,13,4,247,0,57,318,486,2708,30,56,458,9,480,4122,24018271.000000
79,40,132,0,0,17,4,215,0,64,599,591,3775,31,56,387,7,487,5510,24368134.000000
70,36,116,0,0,17,5,245,0,57,397,452,2672,29,56,470,6,489,4139,24466804.000000
65,14,112,0,0,13,5,221,0,76,593,543,3369,30,56,433,8,430,5108,21518712.000000
76,23,119,0,0,14,4,226,0,78,483,535,3063,31,56,393,7,462,4646,23117186.000000
73,44,126,0,0,16,3,251,0,70,374,480,2919,32,56,431,8,513,4370,25667708.000000
72,25,119,0,0,18,5,234,0,75,467,549,3210,31,56,482,7,473,4877,23668707.000000
72,39,116,0,0,15,2,251,0,69,247,387,2305,29,56,481,8,495,3582,24767187.000000
85,19,128,0,0,15,2,237,0,77,613,569,3089,31,56,429,5,486,4869,24317047.000000
60,9,110,0,0,14,3,202,0,59,414,502,2971,29,56,441,14,398,4486,19920945.000000
53,53,124,0,0,15,2,240,0,63,458,461,2530,32,56,412,11,487,4023,24368488.000000
69,26,119,0,0,14,3,251,0,68,504,419,2344,30,56,412,11,482,3844,24118123.000000
70,47,116,0,0,17,5,207,0,69,416,535,3095,31,56,463,5,462,4670,23117156.000000
69,40,125,0,0,15,6,257,0,58,415,476,2679,32,56,397,7,512,4120,25616419.000000
65,16,123,0,0,16,4,241,0,69,468,494,2810,28,56,460,7,465,4392,23267613.000000
70,26,121,0,0,14,5,225,0,62,430,477,2977,31,56,500,8,461,4541,23068782.000000
64,52,121,0,0,15,7,224,0,58,471,506,2985,29,56,443,8,483,4556,24168061.000000
69,40,122,0,0,16,5,241,0,66,357,482,2537,28,56,420,10,493,3956,24668054.000000
61,28,104,0,0,15,5,236,0,70,518,423,2599,31,56,436,11,449,4144,22468802.000000
75,33,112,0,0,14,4,218,0,79,457,514,2960,29,56,444,10,456,4549,22819182.000000
60,31,123,0,0,19,5,262,0,66,415,481,2697,32,56,422,10,500,4179,25018377.000000
76,46,125,0,0,16,7,239,0,64,370,454,2746,29,56,461,5,509,4185,25466261.000000
69,37,117,0,0,16,3,233,0,61,320,427,2336,31,56,454,6,475,3691,23766086.000000
77,36,111,0,0,15,2,228,0,57,333,424,2473,31,56,464,9,469,3847,23467851.000000
68,18,121,0,0,13,5,214,0,70,436,529,2725,31,56,464,6,439,4317,21967296.000000
59,35,111,0,0,15,2,247,0,61,431,399,2408,32,56,421,12,469,3820,23468654.000000
70,32,122,0,0,16,4,234,0,60,391,506,3002,28,56,412,8,478,4463,23917523.000000
73,68,122,0,0,13,7,237,0,74,374,454,2595,29,56,466,5,520,4053,26016239.000000
60,22,114,0,0,15,2,228,0,73,379,519,2724,32,56,465,7,441,4255,22067738.000000
85,57,120,0,0,18,6,237,0,70,720,529,3659,30,56,408,4,523,5476,26166654.000000
61,29,115,0,0,14,6,214,0,61,365,482,2355,30,56,485,11,439,3845,21969370.000000
69,25,117,0,0,14,3,228,0,53,405,504,2638,30,56,431,12,456,4129,22819453.000000
66,28,113,0,0,16,7,213,0,57,407,491,2660,29,56,536,4,443,4240,22166987.000000
56,50,112,0,0,12,3,242,0,72,241,394,2162,32,56,436,10,475,3403,23767473.000000
64,43,113,0,0,14,5,243,0,62,291,443,2400,29,56,483,6,482,3770,24116601.000000
59,30,114,0,0,12,7,252,0,63,370,372,1947,28,56,434,8,474,3278,23716122.000000
65,15,108,0,0,14,6,223,0,60,372,441,2647,26,56,433,11,431,4046,21568599.000000
68,23,116,0,0,11,5,226,0,68,327,427,2309,28,56,448,12,449,3675,22468951.000000
51,37,112,0,0,17,5,232,0,63,296,406,1994,27,56,506,9,454,3357,22717825.000000
76,33,126,0,0,17,7,227,0,64,368,504,3177,27,56,408,6,486,4610,24316605.000000
72,14,114,0,0,15,7,205,0,70,642,529,3424,27,56,487,5,427,5240,21367966.000000
68,29,122,0,0,14,3,231,0,60,465,519,2928,32,56,464,6,467,4530,23367448.000000
66,36,116,0,0,15,6,229,0,67,447,494,2985,31,56,455,7,468,4542,23417742.000000
66,29,128,0,0,16,6,265,0,72,346,419,2254,31,56,442,7,510,3627,25516365.000000
67,19,129,0,0,17,4,233,0,77,368,509,2750,29,56,433,7,469,4229,23467183.000000
62,35,103,0,0,15,3,205,0,59,437,435,2277,31,56,481,9,423,3785,21168079.000000
68,31,131,0,0,16,6,236,0,72,366,497,3024,32,56,471,6,488,4524,24417500.000000
48,27,122,0,0,13,5,243,0,62,426,445,2397,31,56,457,9,458,3883,22917893.000000
63,31,110,0,0,15,5,212,0,51,291,410,1962,28,56,474,10,436,3282,21817788.000000
70,20,116,0,0,15,6,234,0,74,564,508,3658,26,56,372,12,461,5270,23069792.000000
54,36,111,0,0,17,4,214,0,66,496,502,2769,30,56,452,12,436,4383,21820045.000000
66,21,115,0,0,14,3,221,0,65,366,525,3041,31,56,457,8,440,4549,22018392.000000
67,31,112,0,0,14,3,233,0,67,444,482,3100,29,56,441,11,460,4630,23019544.000000
73,28,113,0,0,13,2,244,0,89,462,433,2414,32,56,450,9,473,3945,23667936.000000
60,22,124,0,0,15,4,239,0,75,471,455,2375,29,56,428,8,464,3897,23217056.000000
61,24,113,0,0,19,4,223,0,64,387,495,2741,29,56,486,6,444,4264,22217353.000000
65,23,124,0,0,13,4,246,0,59,432,437,2328,29,56,411,13,475,3765,23769045.000000
71,34,112,0,0,18,6,239,0,67,253,407,2181,29,56,454,8,480,3455,24016754.000000
62,31,121,0,0,15,4,228,0,61,352,429,2617,31,56,464,10,461,4020,23068559.000000
74,63,113,0,0,15,2,204,0,66,455,524,2941,31,56,476,9,471,4558,23569166.000000
63,23,120,0,0,13,5,229,0,56,576,484,2498,30,56,439,10,453,4149,22668519.000000
58,25,113,0,0,17,5,222,0,61,388,456,2295,29,56,497,7,440,3789,22017363.000000
56,28,129,0,0,14,3,244,0,75,483,517,3335,31,56,410,7,474,4914,23717608.000000
61,37,111,0,0,17,5,195,0,78,533,478,3461,30,56,504,5,426,5145,21317994.000000
77,22,116,0,0,16,5,231,0,56,362,522,3060,30,56,439,7,467,4532,23367557.000000
72,33,121,0,0,18,3,221,0,62,367,514,2567,29,56,452,11,468,4058,23419234.000000
71,42,112,0,0,11,4,251,0,65,422,472,2738,27,56,436,7,491,4223,24566985.000000
68,16,119,0,0,16,5,234,0,64,393,506,2852,26,56,445,7,458,4349,22917350.000000
65,22,126,0,0,13,5,251,0,73,464,453,2666,30,56,423,8,482,4173,24117265.000000
67,29,118,0,0,13,5,227,0,58,318,493,2774,30,56,413,10,459,4152,22968202.000000
63,40,114,0,0,16,4,233,0,52,425,457,2309,29,56,515,4,470,3847,23516144.000000
58,22,115,0,0,15,5,229,0,58,385,451,2651,29,56,444,7,444,4081,22216881.000000
65,24,110,0,0,15,6,209,0,62,608,529,2933,31,56,422,10,429,4651,21469006.000000
71,28,120,0,0,13,4,228,0,67,427,472,2635,31,56,429,11,464,4128,23218872.000000
64,36,113,0,0,14,4,223,0,62,431,471,2932,30,56,435,9,454,4426,22718213.000000
70,20,123,0,0,16,6,230,0,77,594,556,3630,30,56,361,7,465,5311,23267464.000000
73,27,123,0,0,14,5,247,0,63,412,447,2792,29,56,450,7,489,4256,24467144.000000
56,21,123,0,0,14,2,236,0,54,378,527,2709,31,56,450,9,452,4214,22618422.000000
66,48,132,0,0,13,4,250,0,76,568,538,3689,28,56,431,5,513,5391,25667412.000000
59,38,121,0,0,14,4,246,0,63,490,483,2748,33,56,418,6,482,4297,24116458.000000
82,27,119,0,0,17,6,248,0,74,285,442,2870,30,56,448,6,499,4211,24966615.000000
67,22,115,0,0,16,4,219,0,57,352,420,2518,28,56,477,10,443,3918,22168530.000000
63,24,118,0,0,14,4,258,0,61,286,387,2015,30,56,440,6,481,3281,24065301.000000
67,36,119,0,0,12,3,229,0,65,431,476,3228,29,56,416,6,466,4707,23316744.000000
53,25,120,0,0,15,3,231,0,70,402,485,2366,32,56,437,11,447,3859,22368798.000000
57,18,115,0,0,15,6,260,0,76,378,452,2032,33,56,473,6,471,3506,23566365.000000
65,41,118,0,0,16,5,229,0,75,407,524,2825,30,56,457,5,474,4379,23716742.000000
65,22,107,0,0,14,3,216,0,56,276,435,2340,29,56,414,14,427,3620,21369421.000000
68,29,121,0,0,13,3,240,0,63,401,422,2088,29,56,456,9,474,3524,23717394.000000
62,39,124,0,0,19,4,248,0,64,442,487,2979,28,56,445,5,496,4506,24816471.000000
69,15,115,0,0,14,5,264,0,75,292,409,2068,29,56,447,4,482,3380,24114625.000000
74,49,109,0,0,17,5,216,0,73,587,416,2335,30,56,482,9,470,3988,23518257.000000
69,34,124,0,0,15,3,237,0,50,393,470,2317,30,56,464,8,482,3788,24117430.000000
74,5,119,0,0,19,7,241,0,73,451,433,2650,28,56,424,5,465,4120,23265611.000000
56,16,124,0,0,18,5,258,0,70,388,483,2968,30,56,430,5,477,4430,23866231.000000
68,36,108,0,0,17,6,213,0,64,417,426,2680,28,56,459,8,448,4138,22417552.000000
66,16,122,0,0,17,6,253,0,75,401,448,2652,29,56,425,8,480,4094,24017183.000000
52,19,112,0,0,15,4,238,0,72,313,461,2515,33,56,434,8,440,3892,22017223.000000
72,31,118,0,0,16,6,205,0,70,432,532,3118,30,56,486,7,448,4731,22418510.000000
48,48,108,0,0,14,3,225,0,52,371,452,2143,28,56,465,15,446,3582,22320629.000000
61,27,108,0,0,14,3,220,0,55,350,428,1935,30,56,422,15,433,3291,21669690.000000
50,28,115,0,0,16,5,219,0,57,307,453,2430,29,56,506,9,433,3847,21668517.000000
64,18,121,0,0,16,2,226,0,60,362,491,2314,32,56,457,6,447,3778,22366486.000000
60,18,127,0,0,13,4,249,0,67,633,466,2947,31,56,388,13,471,4601,23569745.000000
70,40,119,0,0,14,4,233,0,64,515,487,2965,29,56,367,10,480,4493,24017880.000000
68,40,112,0,0,15,4,209,0,75,421,485,3125,31,56,452,9,448,4654,22418806.000000
73,69,124,0,0,14,0,260,0,73,347,479,3311,31,56,409,10,540,4716,27018733.000000
62,39,124,0,0,15,3,251,0,76,350,423,2314,30,56,458,7,494,3714,24716689.000000
63,31,109,0,0,16,5,226,0,70,278,408,1763,29,56,514,6,450,3124,22516281.000000
75,29,124,0,0,18,3,243,0,75,456,474,2693,31,56,426,9,492,4220,24617964.000000
64,54,128,0,0,13,4,258,0,63,475,456,2668,29,56,431,6,521,4184,26066343.000000
59,14,102,0,0,16,4,192,0,53,361,462,2503,27,56,458,11,387,3931,19368909.000000
60,27,120,0,0,15,3,231,0,71,410,492,2645,28,56,449,8,456,4159,22817725.000000
47,29,111,0,0,11,5,246,0,52,339,416,1950,31,56,381,15,449,3240,22469024.000000
74,26,126,0,0,15,4,258,0,67,335,479,2254,33,56,435,7,503,3666,25166564.000000
58,14,117,0,0,17,4,245,0,68,413,417,2058,31,56,476,8,455,3527,22767216.000000
76,31,109,0,0,13,5,221,0,64,460,536,3155,30,56,431,7,455,4739,22767740.000000
55,28,113,0,0,15,5,222,0,68,430,493,2775,31,56,445,8,438,4306,21917865.000000
66,30,111,0,0,14,4,215,0,52,459,488,3179,30,56,450,8,440,4722,22018248.000000
55,28,113,0,0,14,3,264,0,63,225,389,2229,30,56,415,9,477,3416,23866599.000000
58,50,101,0,0,12,5,220,0,70,416,456,2475,28,56,437,11,446,3949,22318696.000000
61,39,116,0,0,12,6,232,0,58,469,460,2557,26,56,466,9,466,4101,23318186.000000
67,31,113,0,0,17,3,200,0,64,485,549,3373,30,56,412,12,431,4981,21570263.000000
66,51,116,0,0,14,2,244,0,70,369,432,2696,31,56,459,10,493,4123,24668640.000000
66,22,113,0,0,13,5,223,0,65,333,497,2400,31,56,432,13,442,3827,22119703.000000
62,45,125,0,0,15,7,248,0,73,326,453,2458,28,56,450,8,502,3852,25117284.000000
55,24,113,0,0,20,4,233,0,51,439,413,2095,29,56,416,14,449,3513,22469234.000000
56,25,119,0,0,17,3,242,0,65,390,455,2763,28,56,436,8,462,4201,23117413.000000
76,22,124,0,0,17,4,240,0,70,358,481,2595,32,56,412,5,483,4009,24165588.000000
60,47,119,0,0,18,5,257,0,65,373,428,2412,32,56,487,5,506,3858,25316255.000000
66,31,117,0,0,17,5,226,0,58,289,485,2411,31,56,428,12,462,3770,23119015.000000
61,31,121,0,0,14,3,251,0,85,501,450,2695,27,56,397,13,481,4224,24069426.000000
61,52,104,0,0,14,7,222,0,56,381,478,2883,26,56,418,6,460,4304,23016284.000000
67,13,125,0,0,14,5,234,0,54,495,449,2374,29,56,460,6,458,3923,22916424.000000
78,28,116,0,0,16,4,206,0,63,570,528,3125,31,56,438,8,448,4819,22418400.000000
71,28,111,0,0,12,4,237,0,69,281,472,2324,29,56,455,8,463,3694,23167275.000000
81,44,127,0,0,16,3,256,0,69,678,533,3356,32,56,431,3,527,5158,26366209.000000
69,19,112,0,0,13,5,218,0,60,321,436,2223,31,56,425,11,436,3563,21818079.000000
67,30,111,0,0,18,3,249,0,62,347,394,2412,29,56,478,6,478,3784,23916349.000000
72,46,123,0,0,16,5,250,0,75,377,441,2460,32,56,428,4,512,3873,25615037.000000
80,56,130,0,0,16,5,272,0,70,471,487,2761,28,56,403,5,559,4281,27965682.000000
76,16,125,0,0,14,4,253,0,54,447,469,2864,32,56,409,7,488,4338,24416761.000000
71,61,123,0,0,15,3,234,0,68,301,482,2595,30,56,422,12,507,3966,25369136.000000
64,19,109,0,0,17,5,223,0,62,435,427,2816,28,56,472,4,437,4300,21865896.000000
77,44,108,0,0,13,5,234,0,66,592,468,3287,30,56,446,6,481,4951,24067399.000000
80,29,120,0,0,16,5,221,0,74,408,557,3141,31,56,428,7,471,4702,23567804.000000
64,32,120,0,0,15,7,231,0,63,536,468,2652,30,56,479,7,469,4291,23467688.000000
63,24,119,0,0,17,6,239,0,65,256,484,2989,30,56,413,8,468,4301,23417345.000000
65,52,109,0,0,18,5,235,0,62,334,393,2326,30,56,516,6,484,3723,24216835.000000
73,20,123,0,0,14,5,221,0,55,408,528,3555,30,56,418,8,456,5058,22818308.000000
66,33,122,0,0,16,4,224,0,60,370,464,2238,31,56,438,11,465,3668,23268478.000000
