countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft, res
39,22,45,0,0,10,3,86,0,31,334,201,1543,19,14,209,0,205,2351,8214644.000000
37,15,46,0,0,8,5,86,0,29,239,172,1357,16,14,186,6,197,2019,7894989.000000
35,17,47,0,0,9,4,92,0,19,202,189,1493,21,14,201,2,204,2141,8174394.000000
32,5,46,0,0,10,2,106,0,23,199,125,837,19,14,185,6,201,1408,8052059.000000
32,20,43,0,0,10,2,73,0,20,406,213,1746,19,14,213,2,180,2633,7216884.000000
22,11,35,0,0,9,4,62,0,23,255,187,1666,18,14,246,5,143,2414,5737259.000000
37,28,46,0,0,10,3,85,0,26,245,186,1432,20,14,182,4,209,2109,8374789.000000
36,12,48,0,0,10,2,80,0,34,241,197,1843,20,14,167,3,188,2519,7536294.000000
35,16,48,0,0,10,5,87,0,24,294,163,1347,19,14,227,2,201,2090,8054309.000000
30,13,43,0,0,9,2,75,0,34,324,207,1726,21,14,197,1,172,2524,6895874.000000
35,22,49,0,0,9,3,94,0,35,232,180,1596,17,14,199,1,212,2274,8494464.000000
29,9,44,0,0,12,4,87,0,26,236,185,1542,19,14,228,0,185,2250,7414329.000000
32,11,35,0,0,10,3,69,0,25,318,198,1860,19,14,246,5,160,2685,6418659.000000
28,23,41,0,0,8,4,67,0,22,403,204,1797,20,14,212,5,171,2677,6858324.000000
34,14,46,0,0,8,4,93,0,33,293,192,1434,17,14,202,2,199,2187,7974454.000000
43,14,49,0,0,11,3,84,0,38,184,206,1761,21,14,198,1,204,2423,8175379.000000
32,22,45,0,0,11,3,77,0,32,362,211,1830,20,14,208,2,190,2679,7617109.000000
30,13,45,0,0,9,2,101,0,23,276,125,992,18,14,210,3,200,1661,8012344.000000
34,20,46,0,0,11,6,107,0,26,123,134,757,19,14,219,2,224,1294,8970249.000000
