countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft, res
63,15,132,0,0,13,3,269,0,50,660,475,2748,32,21,749,9,495,4744,12420930.000000
75,28,136,0,0,15,3,309,0,46,879,432,2760,31,21,734,5,566,4908,14196987.000000
70,19,155,0,0,13,4,319,0,50,626,459,2641,31,21,782,5,580,4615,14543794.000000
78,16,145,0,0,14,2,308,0,44,719,475,2420,33,21,734,2,563,4448,14116350.000000
51,14,140,0,0,12,4,313,0,44,519,415,2269,31,21,716,9,534,4024,13389270.000000
81,38,141,0,0,14,3,282,0,50,635,439,2267,33,21,759,5,559,4209,14014974.000000
86,14,140,0,0,14,6,285,0,53,754,516,3133,31,21,737,4,545,5249,13674366.000000
75,22,135,0,0,15,4,279,0,46,669,498,3076,31,21,674,2,530,5017,13296763.000000
73,55,154,0,0,14,3,275,0,47,899,585,3716,32,21,734,6,574,6040,14407195.000000
84,38,152,0,0,15,4,281,0,57,660,537,2976,28,21,766,4,574,5049,14397067.000000
84,40,136,0,0,13,5,260,0,43,771,516,2908,33,21,817,3,538,5112,13497866.000000
62,35,141,0,0,15,3,256,0,42,855,543,3542,30,21,751,7,512,5791,12855288.000000
59,33,144,0,0,13,2,278,0,53,775,499,2854,33,21,722,7,529,4964,13272449.000000
75,36,151,0,0,15,3,268,0,46,919,574,2952,32,21,796,4,548,5344,13749859.000000
74,42,148,0,0,14,2,273,0,45,543,521,3109,31,21,778,4,553,5052,13872391.000000
61,46,140,0,0,13,4,285,0,51,551,472,2513,33,21,758,6,549,4405,13766872.000000
73,41,153,0,0,13,3,294,0,57,589,470,2737,34,21,758,4,577,4670,14469060.000000
81,48,152,0,0,13,5,294,0,52,691,505,3143,32,21,742,3,593,5189,14873660.000000
71,36,142,0,0,13,4,311,0,62,658,491,3431,29,21,651,7,577,5350,14476216.000000
92,20,147,0,0,13,4,271,0,60,721,516,3291,31,21,743,4,547,5387,13725711.000000
80,38,132,0,0,13,5,268,0,51,649,454,3012,32,21,777,7,536,5003,13448224.000000
78,69,138,0,0,15,3,254,0,41,885,519,3073,33,21,654,3,557,5229,13974019.000000
74,8,140,0,0,15,3,295,0,54,595,499,2643,32,21,765,3,535,4612,13417934.000000
86,36,143,0,0,14,3,269,0,50,783,574,3230,30,21,813,4,551,5505,13826389.000000
70,38,150,0,0,14,2,308,0,54,610,445,2502,35,21,737,8,582,4412,14592710.000000
66,26,146,0,0,13,2,284,0,58,736,523,3148,32,21,772,4,537,5294,13474758.000000
61,18,148,0,0,14,3,288,0,45,588,509,3298,35,21,709,5,532,5210,13349439.000000
83,34,148,0,0,14,5,284,0,50,749,454,2605,31,21,758,7,568,4675,14244919.000000
60,49,151,0,0,13,3,296,0,37,602,448,2556,31,21,781,5,572,4481,14342618.000000
66,18,144,0,0,14,3,297,0,49,560,429,2313,29,21,747,6,542,4154,13589639.000000
