countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft, res
48,30,69,0,0,7,2,140,0,43,533,372,1350,19,28,230,2,296,2577,8892328.000000
52,32,100,0,0,9,1,192,0,49,630,336,1693,23,28,195,0,386,2954,11593089.000000
57,22,82,0,0,7,1,145,0,43,404,329,1131,21,28,254,0,314,2210,9430861.000000
41,11,75,0,0,6,1,142,0,37,357,310,1205,20,28,204,4,276,2165,8291565.000000
35,23,69,0,0,7,3,173,0,39,479,239,895,21,28,241,1,310,1943,9309751.000000
43,53,78,0,0,9,1,151,0,47,548,292,1473,23,28,227,2,335,2640,10062933.000000
43,19,74,0,0,7,2,129,0,43,687,312,1619,22,28,232,2,274,2945,8233857.000000
38,13,77,0,0,8,1,142,0,45,760,325,1802,22,28,214,2,279,3198,8384598.000000
47,32,83,0,0,6,2,164,0,34,502,335,1413,22,28,207,2,334,2543,10032245.000000
43,14,70,0,0,9,2,140,0,39,500,363,1532,19,28,235,1,278,2717,8352951.000000
38,31,85,0,0,9,0,165,0,40,356,331,1401,20,28,228,1,328,2405,9852040.000000
43,13,81,0,0,7,3,149,0,43,557,335,1716,23,28,212,1,296,2915,8893655.000000
40,18,84,0,0,11,3,168,0,44,429,275,1325,21,28,235,4,324,2361,9732722.000000
43,17,87,0,0,9,3,168,0,48,426,285,1618,18,28,279,0,327,2702,9823614.000000
49,12,75,0,0,7,2,171,0,40,716,331,1822,20,28,196,0,316,3153,9493725.000000
42,14,75,0,0,7,2,157,0,48,535,338,1590,20,28,190,2,297,2751,8922941.000000
36,19,73,0,0,8,2,182,0,43,378,270,1082,16,28,219,3,320,2039,9610806.000000
51,12,73,0,0,9,1,155,0,47,529,324,1551,22,28,229,2,301,2732,9043346.000000
48,34,71,0,0,9,2,149,0,40,583,308,1561,21,28,213,3,313,2757,9403439.000000
47,13,77,0,0,9,2,157,0,39,566,313,1639,21,28,226,3,305,2835,9164007.000000
41,31,84,0,0,7,1,156,0,38,502,292,1286,21,28,230,3,320,2400,9612212.000000
42,10,68,0,0,9,2,156,0,39,638,319,1630,19,28,243,3,287,2919,8624255.000000
42,11,75,0,0,8,1,144,0,39,404,308,1300,22,28,210,2,281,2313,8441625.000000
51,19,85,0,0,9,1,168,0,52,517,295,1293,21,28,227,2,333,2435,10001990.000000
40,15,70,0,0,9,4,152,0,46,584,320,1711,21,28,210,1,290,2921,8713587.000000
52,5,79,0,0,8,2,180,0,49,452,296,1437,21,28,211,1,326,2495,9792091.000000
47,23,77,0,0,7,1,149,0,42,493,287,1277,21,28,259,1,304,2408,9132008.000000
44,33,73,0,0,12,1,171,0,35,458,254,1215,20,28,245,2,334,2257,10031665.000000
45,23,67,0,0,8,1,148,0,44,554,289,1368,21,28,222,4,292,2530,8772881.000000
47,11,85,0,0,8,3,142,0,52,588,375,1834,23,28,202,2,296,3104,8894511.000000
53,24,80,0,0,10,4,171,0,47,505,320,1548,21,28,227,1,342,2697,10272953.000000
43,31,85,0,0,7,4,155,0,44,557,345,1530,19,28,208,0,325,2731,9762300.000000
59,13,84,0,0,8,3,171,0,51,529,340,1743,22,28,204,0,338,2917,10153367.000000
