countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft, res
49,28,85,0,0,12,1,206,0,36,383,338,1154,31,42,274,7,381,2265,17163022.000000
35,31,98,0,0,11,1,207,0,48,522,455,1442,36,42,261,5,383,2811,17255567.000000
43,18,109,0,0,10,2,207,0,36,469,456,1374,30,42,315,9,389,2731,17526862.000000
62,16,87,0,0,13,1,201,0,44,584,455,1625,34,42,353,2,380,3139,17121612.000000
34,15,84,0,0,12,1,206,0,46,406,394,1316,35,42,303,7,352,2549,15859762.000000
44,15,98,0,0,13,1,230,0,41,481,372,1257,34,42,274,10,401,2511,18066122.000000
44,12,94,0,0,10,1,214,0,47,552,405,1498,39,42,246,6,375,2835,16896252.000000
51,27,91,0,0,14,2,214,0,42,401,399,1249,30,42,341,4,399,2508,17973312.000000
44,37,90,0,0,15,0,184,0,36,601,483,1767,35,42,329,6,370,3299,16674172.000000
50,19,98,0,0,12,0,245,0,49,328,338,1405,34,42,295,4,424,2495,19097712.000000
55,18,99,0,0,14,1,214,0,47,448,388,1353,33,42,272,6,401,2589,18064542.000000
49,13,77,0,0,13,2,176,0,35,371,370,1069,36,42,307,8,330,2238,14868512.000000
42,27,83,0,0,12,0,212,0,41,437,386,1243,36,42,327,5,376,2517,16939002.000000
43,25,101,0,0,12,0,235,0,47,433,415,1545,37,42,265,7,416,2791,18740947.000000
54,14,89,0,0,12,2,206,0,52,447,453,1640,34,42,315,4,377,2987,16985867.000000
44,22,104,0,0,11,0,210,0,52,517,423,1620,34,42,316,3,391,3007,17615877.000000
59,37,95,0,0,14,1,204,0,51,513,390,1327,33,42,301,5,410,2662,18469932.000000
42,15,100,0,0,12,0,204,0,40,513,474,1333,36,42,273,9,373,2720,16806907.000000
54,19,90,0,0,12,1,159,0,48,711,540,2408,35,42,339,4,335,4127,15103022.000000
40,20,106,0,0,13,1,226,0,43,521,422,1478,35,42,306,3,406,2850,18290077.000000
54,33,109,0,0,13,2,222,0,45,462,450,1683,35,42,263,3,433,2983,19505232.000000
50,21,92,0,0,11,1,210,0,45,486,420,1597,35,42,317,5,385,2947,17346332.000000
57,5,98,0,0,13,0,223,0,44,315,368,1173,34,42,318,7,396,2301,17838127.000000
55,15,94,0,0,12,1,198,0,43,514,453,1485,34,42,337,3,375,2911,16895487.000000
49,18,92,0,0,13,3,216,0,46,337,393,1248,33,42,310,5,391,2414,17612857.000000
51,23,93,0,0,12,2,222,0,51,620,358,1397,31,42,266,8,403,2773,18157152.000000
47,15,100,0,0,12,0,217,0,46,481,432,1119,35,42,322,3,391,2480,17613107.000000
44,8,95,0,0,12,1,227,0,39,559,409,1519,35,42,303,5,387,2911,17436447.000000
43,27,93,0,0,14,2,224,0,46,428,383,1147,34,42,338,6,403,2424,18153962.000000
40,35,89,0,0,12,1,200,0,43,432,444,1299,36,42,298,7,377,2601,16985142.000000
43,16,98,0,0,11,1,204,0,55,508,488,1650,34,42,313,4,373,3094,16806697.000000
56,15,86,0,0,13,1,213,0,50,483,340,1220,36,42,292,7,384,2470,17299712.000000
59,22,95,0,0,14,2,211,0,53,494,402,1514,35,42,286,5,403,2831,18155637.000000
43,12,98,0,0,13,3,219,0,55,535,385,1438,33,42,311,6,388,2805,17481252.000000
49,21,97,0,0,14,1,215,0,52,413,402,1482,37,42,293,2,397,2723,17883422.000000
49,25,84,0,0,13,0,190,0,40,434,371,890,36,42,324,7,361,2144,16262997.000000
45,12,84,0,0,13,0,187,0,46,583,415,1563,34,42,317,7,341,3007,15367992.000000
47,12,100,0,0,14,0,213,0,45,459,449,1533,37,42,293,3,386,2861,17389787.000000
49,21,94,0,0,13,1,197,0,46,400,392,1264,31,42,342,7,375,2524,16894742.000000
52,32,86,0,0,10,2,193,0,41,417,399,1506,36,42,305,9,375,2755,16896762.000000
51,21,84,0,0,11,2,181,0,38,410,396,1432,37,42,305,7,350,2667,15770412.000000
50,42,90,0,0,10,1,213,0,39,391,405,1555,31,42,273,9,406,2745,18291347.000000
44,24,92,0,0,10,0,215,0,50,531,381,1424,32,42,338,5,385,2803,17345897.000000
64,20,110,0,0,13,0,227,0,50,546,502,1590,33,42,252,2,434,3017,19550292.000000
50,11,117,0,0,11,0,258,0,48,532,387,1366,39,42,250,11,447,2675,20137597.000000
52,20,93,0,0,13,2,216,0,43,582,445,1773,31,42,304,5,396,3225,17843077.000000
47,26,91,0,0,10,0,190,0,42,368,388,1074,31,42,324,10,364,2279,16399602.000000
58,22,91,0,0,10,1,190,0,42,567,446,1509,36,42,283,6,372,2931,16761947.000000
35,31,82,0,0,14,2,174,0,31,425,422,1252,32,42,362,8,338,2574,15230677.000000
33,30,95,0,0,10,0,194,0,44,544,458,1752,33,42,280,4,362,3157,16312012.000000
45,35,93,0,0,13,1,204,0,49,392,365,1020,34,42,327,6,391,2235,17612782.000000
42,13,102,0,0,11,0,215,0,40,566,485,1517,38,42,315,3,383,3006,17256172.000000
47,28,95,0,0,15,0,218,0,31,464,379,1362,34,42,308,6,403,2626,18155002.000000
48,11,104,0,0,13,0,199,0,44,452,487,1645,33,42,248,9,375,2960,16897632.000000
49,18,97,0,0,13,2,210,0,53,472,383,1381,36,42,328,6,389,2701,17525547.000000
38,12,86,0,0,13,0,210,0,35,421,439,1400,36,42,356,8,359,2737,16176502.000000
50,21,93,0,0,10,1,227,0,43,329,280,888,40,42,307,7,402,1936,18106407.000000
56,22,98,0,0,13,1,179,0,45,640,488,1642,39,42,311,3,369,3210,16627557.000000
50,23,98,0,0,11,0,203,0,45,511,431,1258,35,42,343,5,385,2670,17345202.000000
51,20,90,0,0,13,1,182,0,48,554,462,1577,35,42,300,7,357,3025,16087867.000000
58,35,95,0,0,13,1,214,0,47,525,454,1751,37,42,300,3,416,3159,18741642.000000
44,23,93,0,0,14,0,229,0,38,451,393,1452,33,42,283,5,403,2697,18154707.000000
48,11,101,0,0,13,1,224,0,41,439,394,1207,33,42,251,8,398,2415,17929412.000000
41,24,88,0,0,10,1,186,0,41,493,392,1382,33,42,284,11,350,2678,15772497.000000
46,45,80,0,0,13,1,181,0,52,481,394,1421,36,42,326,12,366,2764,16493567.000000
55,21,93,0,0,12,1,195,0,47,525,431,1554,35,42,307,5,377,2946,16986472.000000
56,8,105,0,0,14,0,216,0,44,486,418,1467,37,42,265,7,399,2766,17976087.000000
59,10,99,0,0,16,0,211,0,49,467,423,1518,32,42,308,5,395,2844,17795632.000000
40,12,105,0,0,12,0,233,0,59,545,458,1457,36,42,310,7,402,2914,18112332.000000
39,23,79,0,0,11,0,177,0,36,385,354,1145,34,42,320,8,329,2324,14824047.000000
51,21,100,0,0,12,1,194,0,46,603,466,1836,35,42,311,5,379,3344,17078872.000000
61,24,92,0,0,13,0,191,0,49,474,387,1511,33,42,315,7,381,2818,17166477.000000
64,28,91,0,0,11,3,218,0,49,507,404,1628,33,42,322,2,415,2987,18695297.000000
31,35,99,0,0,13,1,235,0,44,414,413,1183,35,42,319,3,414,2453,18647622.000000
55,11,89,0,0,13,2,208,0,47,505,412,1500,35,42,281,9,378,2831,17032447.000000
59,28,105,0,0,11,1,218,0,51,517,396,1623,38,42,267,7,422,2941,19012142.000000
44,14,88,0,0,13,2,212,0,40,562,423,1327,31,42,302,9,373,2736,16807302.000000
48,22,92,0,0,14,2,214,0,45,410,415,1247,34,42,315,5,392,2513,17658757.000000
50,22,87,0,0,14,1,191,0,46,375,476,1622,34,42,319,0,365,2914,16443382.000000
64,41,97,0,0,13,1,209,0,54,539,440,1735,31,42,266,3,425,3110,19146207.000000
43,30,78,0,0,10,0,164,0,44,480,435,1247,33,42,332,5,325,2618,14644702.000000
50,21,88,0,0,12,1,201,0,34,383,415,1422,33,42,340,6,373,2675,16804987.000000
50,22,86,0,0,14,0,197,0,42,352,409,1450,35,42,314,3,369,2647,16623257.000000
53,29,94,0,0,12,1,199,0,51,381,366,1248,32,42,298,10,388,2428,17480297.000000
37,40,97,0,0,10,1,229,0,47,524,428,1629,34,42,299,5,414,3008,18651722.000000
50,23,91,0,0,8,0,198,0,42,412,401,1382,34,42,288,6,370,2607,16669547.000000
49,20,85,0,0,14,1,207,0,45,491,406,1284,36,42,294,6,376,2604,16939987.000000
47,31,94,0,0,12,2,208,0,52,401,380,1360,34,42,300,9,394,2578,17750742.000000
65,11,98,0,0,12,1,199,0,45,462,449,1558,39,42,322,2,386,2919,17389822.000000
52,11,83,0,0,11,0,199,0,44,407,392,1156,35,42,337,6,356,2419,16038842.000000
39,31,83,0,0,10,1,177,0,41,441,392,1196,32,42,355,10,341,2509,15366287.000000
53,13,97,0,0,10,1,196,0,43,413,398,1364,34,42,313,10,370,2617,16671507.000000
59,27,86,0,0,10,1,186,0,48,484,403,1239,31,42,323,6,369,2576,16624882.000000
56,3,96,0,0,13,0,223,0,48,375,433,1581,39,42,261,3,391,2782,17613842.000000
55,12,89,0,0,11,1,212,0,41,506,382,1214,33,42,275,8,380,2501,17120297.000000
51,16,93,0,0,11,1,215,0,44,463,408,1500,32,42,307,9,387,2805,17437192.000000
42,28,95,0,0,10,3,229,0,41,445,394,1170,34,42,293,6,407,2425,18333827.000000
62,24,98,0,0,13,1,199,0,45,532,446,1714,31,42,324,1,397,3135,17885697.000000
43,31,93,0,0,10,0,201,0,44,576,437,1583,33,42,322,6,378,3043,17032702.000000
46,28,92,0,0,12,0,219,0,45,400,443,1148,36,42,326,2,397,2442,17882102.000000
40,22,100,0,0,12,4,226,0,47,441,409,1450,34,42,274,6,404,2703,18200102.000000
38,28,88,0,0,12,1,188,0,49,435,461,1619,37,42,305,8,355,2956,15997427.000000
56,23,92,0,0,12,1,202,0,46,519,440,1499,38,42,275,6,386,2865,17391367.000000
48,19,91,0,0,14,0,214,0,49,467,352,1198,33,42,307,9,386,2457,17390487.000000
41,37,97,0,0,14,0,200,0,44,530,514,1836,35,42,312,5,389,3318,17528382.000000
40,8,106,0,0,12,2,209,0,48,516,465,1548,32,42,306,7,377,2964,16987357.000000
45,18,90,0,0,13,0,186,0,51,511,458,1498,37,42,322,4,352,2923,15860947.000000
50,11,101,0,0,12,1,207,0,50,581,408,1896,30,42,297,9,382,3313,17215242.000000
42,32,101,0,0,9,0,198,0,49,464,442,1520,33,42,271,9,382,2830,17212157.000000
55,24,94,0,0,11,1,221,0,52,590,401,1406,35,42,301,4,406,2831,18290747.000000
40,14,79,0,0,14,1,177,0,35,425,489,1257,33,42,333,8,325,2622,14645787.000000
52,43,99,0,0,12,1,196,0,45,593,509,1874,36,42,316,3,403,3418,18158342.000000
52,26,92,0,0,12,0,216,0,44,414,321,1013,34,42,293,9,398,2170,17928732.000000
58,10,104,0,0,14,1,218,0,43,484,407,1462,35,42,311,1,405,2785,18243702.000000
59,24,88,0,0,11,1,191,0,52,576,440,1642,31,42,284,6,374,3073,16852632.000000
46,20,89,0,0,13,1,183,0,35,534,511,1546,32,42,309,5,352,3014,15861822.000000
41,37,93,0,0,10,0,187,0,52,616,465,1538,38,42,290,6,368,3047,16582837.000000
57,21,106,0,0,13,0,220,0,40,579,431,1643,34,42,297,6,417,3072,18787752.000000
52,30,101,0,0,12,0,220,0,50,378,458,1166,36,42,306,4,415,2440,18692772.000000
47,22,89,0,0,13,0,203,0,50,437,384,1300,34,42,350,4,374,2601,16849062.000000
53,33,94,0,0,12,0,188,0,46,528,462,1529,34,42,305,7,380,2953,17122387.000000
