countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft, res
148,67,262,0,0,40,7,561,0,99,1667,1058,8180,60,112,1362,1,1085,12539,21743743.000000
127,89,275,0,0,34,8,544,0,99,1500,1106,7306,65,112,1419,1,1077,11608,21582017.000000
145,59,276,0,0,33,7,527,0,89,1321,1031,7613,67,112,1469,0,1047,11702,20980789.000000
145,69,253,0,0,36,9,501,0,101,1584,1125,8503,65,112,1529,4,1013,13023,20305783.000000
154,35,287,0,0,33,9,582,0,119,1478,1057,7019,66,112,1469,1,1100,11321,22042101.000000
143,38,268,0,0,32,9,554,0,105,1505,998,6977,63,112,1517,3,1044,11280,20922960.000000
154,58,278,0,0,32,7,563,0,110,1488,1136,7531,66,112,1376,2,1092,11821,21882017.000000
144,31,264,0,0,37,10,545,0,110,1416,1053,7474,69,112,1372,3,1031,11609,20661437.000000
151,116,290,0,0,34,13,539,0,104,1490,1119,8034,63,112,1421,0,1143,12343,22902423.000000
171,75,288,0,0,37,9,552,0,97,1235,1069,8026,65,112,1311,2,1132,11917,22679160.000000
158,76,274,0,0,30,5,564,0,107,1426,1042,7783,67,112,1353,1,1107,11891,22181150.000000
155,94,282,0,0,36,11,552,0,112,1421,1058,7583,67,112,1318,1,1130,11672,22640591.000000
151,71,277,0,0,33,9,543,0,108,1565,1126,7862,62,112,1418,1,1084,12254,21723158.000000
162,95,253,0,0,38,8,520,0,120,1819,1015,7472,69,112,1461,0,1076,12068,21565767.000000
150,67,274,0,0,38,11,535,0,89,1300,962,7267,63,112,1411,4,1075,11208,21540224.000000
164,73,276,0,0,31,9,560,0,108,1739,1101,8571,62,112,1373,4,1113,13070,22305732.000000
143,61,269,0,0,34,6,571,0,112,1384,995,7072,65,112,1328,3,1084,11071,21720067.000000
136,85,290,0,0,30,11,539,0,115,1678,1116,8412,65,112,1453,3,1091,12954,21865733.000000
161,70,286,0,0,35,4,583,0,113,1619,1072,7782,67,112,1338,1,1139,12104,22822989.000000
137,95,274,0,0,32,7,593,0,105,1307,994,6954,65,112,1492,2,1138,11031,22800583.000000
161,66,260,0,0,31,7,525,0,131,1398,1054,7164,64,112,1402,2,1050,11327,21040953.000000
123,58,253,0,0,40,10,520,0,95,1510,1007,7494,60,112,1439,3,1004,11720,20122586.000000
161,118,261,0,0,37,8,497,0,129,1492,1173,8522,63,112,1402,0,1082,12893,21682920.000000
161,90,282,0,0,33,9,547,0,101,1514,1051,7390,64,112,1412,4,1122,11648,22482686.000000
164,51,277,0,0,31,10,545,0,101,1356,1054,7708,65,112,1338,1,1078,11735,21600127.000000
145,76,276,0,0,37,7,558,0,121,1300,978,6355,67,112,1462,1,1099,10396,22019558.000000
152,86,278,0,0,37,7,548,0,100,1303,1011,6870,66,112,1413,2,1108,10877,22199701.000000
140,62,286,0,0,33,8,556,0,117,1267,1096,7375,66,112,1410,2,1085,11445,21739986.000000
148,90,263,0,0,36,11,533,0,105,1542,1114,7811,64,112,1432,1,1081,12181,21663070.000000
164,72,296,0,0,36,9,562,0,110,1744,1046,8173,67,112,1425,2,1139,12679,22825659.000000
135,57,264,0,0,33,8,539,0,108,1198,1015,6980,66,112,1464,2,1036,10945,20759315.000000
127,59,265,0,0,32,7,551,0,107,1178,1070,7647,67,112,1365,3,1041,11549,20859082.000000
150,64,253,0,0,40,10,504,0,101,1762,1072,7654,61,112,1427,4,1021,12193,20465481.000000
