countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft, res
29,18,45,0,0,8,0,92,0,13,168,165,692,18,14,200,2,192,1272,2889970.000000
33,0,52,0,0,5,0,109,0,13,193,171,858,18,14,166,2,199,1435,2996591.000000
32,20,55,0,0,6,0,100,0,10,321,201,1044,20,14,167,0,213,1777,3208871.000000
33,10,49,0,0,6,0,84,0,14,295,185,1020,19,14,143,3,182,1693,2743805.000000
32,32,46,0,0,5,0,80,0,9,310,191,1533,17,14,147,4,195,2225,2944101.000000
29,19,41,0,0,6,0,99,0,11,176,149,488,20,14,169,3,194,1030,2917999.000000
18,12,37,0,0,3,0,123,0,9,159,106,508,17,14,150,5,193,968,2903176.000000
29,7,49,0,0,5,0,94,0,9,201,149,1002,16,14,164,3,184,1558,2773109.000000
30,4,47,0,0,5,0,88,0,9,249,210,932,16,14,173,2,174,1605,2622605.000000
23,14,35,0,0,6,0,89,0,9,223,150,972,18,14,140,4,167,1530,2518010.000000
21,12,45,0,0,4,0,92,0,12,152,167,757,18,14,198,2,174,1320,2620527.000000
25,18,51,0,0,5,0,92,0,8,304,247,1525,19,14,169,1,191,2287,2883762.000000
14,7,44,0,0,6,0,101,0,12,160,162,775,20,14,146,4,172,1293,2590842.000000
24,9,41,0,0,6,0,73,0,7,214,206,760,18,14,182,2,153,1403,2305801.000000
27,29,51,0,0,5,1,112,0,7,166,173,697,16,14,192,0,225,1265,3384588.000000
31,23,47,0,0,6,0,103,0,11,211,159,1181,19,14,124,1,210,1720,3164559.000000
31,18,40,0,0,5,0,99,0,8,231,179,1014,18,14,178,1,193,1643,2908234.000000
33,27,54,0,0,5,0,116,0,7,174,161,943,19,14,153,1,235,1472,3537121.000000
19,10,37,0,0,5,0,99,0,9,209,201,594,19,14,182,1,170,1229,2559001.000000
23,14,43,0,0,5,0,98,0,10,211,177,935,21,14,151,3,183,1522,2757607.000000
20,18,45,0,0,6,0,91,0,11,189,175,1008,19,14,136,4,180,1556,2713245.000000
26,12,46,0,0,6,0,89,0,14,264,188,1180,23,14,174,0,179,1857,2700078.000000
33,12,41,0,0,4,0,97,0,8,217,175,823,17,14,164,3,187,1421,2816450.000000
29,24,51,0,0,7,0,90,0,11,260,171,916,18,14,166,2,201,1558,3027496.000000
24,6,45,0,0,6,0,83,0,11,248,175,1129,16,14,160,3,164,1756,2474630.000000
30,10,50,0,0,5,0,102,0,14,204,185,873,20,14,178,0,197,1488,2966635.000000
17,7,43,0,0,5,0,99,0,7,157,163,491,18,14,180,2,171,1032,2572773.000000
20,19,50,0,0,4,0,102,0,7,104,142,869,17,14,159,3,195,1315,2936282.000000
25,14,46,0,0,6,0,96,0,12,227,163,841,19,14,160,2,187,1438,2816578.000000
19,23,45,0,0,6,0,117,0,10,125,120,569,22,14,153,2,210,1015,3158350.000000
39,13,52,0,0,5,0,109,0,7,105,164,748,18,14,150,2,218,1208,3279934.000000
25,14,46,0,0,5,0,84,0,11,194,183,734,19,14,176,2,174,1333,2620438.000000
25,10,38,0,0,6,0,74,0,10,311,207,1158,20,14,176,1,153,1897,2310162.000000
24,7,36,0,0,6,0,99,0,5,161,122,492,20,14,142,2,172,958,2587622.000000
31,18,44,0,0,4,0,95,0,6,106,166,514,19,14,149,4,192,978,2887921.000000
25,15,48,0,0,5,0,109,0,14,195,209,983,18,14,167,0,202,1600,3042599.000000
25,14,48,0,0,5,0,91,0,12,216,173,852,19,14,162,2,183,1450,2756653.000000
26,6,51,0,0,6,0,97,0,8,248,218,1095,19,14,179,2,186,1783,2804353.000000
25,12,48,0,0,7,0,97,0,10,144,173,818,18,14,170,1,189,1348,2845803.000000
25,9,48,0,0,6,0,85,0,7,347,186,1224,17,14,150,4,173,1949,2611196.000000
22,21,36,0,0,5,0,86,0,9,225,150,789,15,14,172,2,170,1376,2560960.000000
31,20,50,0,0,6,0,100,0,15,229,140,790,18,14,169,3,207,1378,3116235.000000
32,9,48,0,0,6,0,102,0,11,209,185,1255,18,14,141,2,197,1835,2970520.000000
28,4,48,0,0,5,0,94,0,12,264,220,1089,19,14,162,2,179,1782,2699310.000000
25,28,52,0,0,6,0,97,0,11,209,177,1323,17,14,163,1,208,1915,3136122.000000
28,17,52,0,0,5,0,84,0,11,224,226,1314,20,14,192,1,186,2002,2806391.000000
29,26,44,0,0,3,0,95,0,10,163,179,908,17,14,163,3,197,1457,2967039.000000
31,19,49,0,0,4,0,93,0,13,168,179,789,19,14,166,3,196,1351,2950964.000000
24,3,48,0,0,5,0,97,0,7,277,192,1262,19,14,149,2,177,1922,2670987.000000
27,0,42,0,0,5,0,96,0,10,337,191,1296,18,14,153,2,170,2021,2566631.000000
30,17,41,0,0,5,0,94,0,14,195,160,1016,18,14,150,2,187,1569,2818095.000000
24,24,43,0,0,5,0,86,0,13,150,184,828,18,14,172,1,182,1380,2740969.000000
26,17,39,0,0,6,0,89,0,13,184,155,638,18,14,182,1,177,1205,2664260.000000
25,30,47,0,0,5,0,84,0,11,295,229,1095,16,14,179,1,191,1840,2879374.000000
26,15,42,0,0,6,0,88,0,12,311,201,1284,16,14,168,2,177,2008,2671416.000000
