countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft, res
119,87,141,0,0,28,6,258,0,91,1941,815,7173,45,42,991,5,639,11103,19263530.000000
112,88,139,0,0,25,2,276,0,95,1490,764,5708,48,42,1001,9,642,9157,19337700.000000
108,54,136,0,0,28,5,225,0,97,2248,905,7954,45,42,1045,7,556,12343,16784225.000000
105,52,140,0,0,27,4,261,0,91,1524,789,6154,48,42,1033,6,589,9687,17751695.000000
94,66,126,0,0,25,7,216,0,88,1818,908,7526,43,42,1110,5,534,11540,16117450.000000
114,78,145,0,0,27,3,267,0,95,1798,800,6925,50,42,957,5,634,10672,19110210.000000
105,26,148,0,0,22,6,288,0,102,1463,714,5498,46,42,1016,9,595,8890,17925285.000000
108,49,132,0,0,22,8,270,0,81,1428,679,5422,46,42,1135,4,589,8837,17743165.000000
110,85,138,0,0,25,7,249,0,89,1741,845,6786,46,42,1058,2,614,10609,18508255.000000
98,49,134,0,0,24,6,219,0,77,1940,892,7230,47,42,1051,9,530,11288,15995950.000000
109,35,139,0,0,24,6,261,0,89,1793,743,5834,48,42,1065,5,574,9619,17299460.000000
100,59,146,0,0,26,7,288,0,84,1406,640,5274,46,42,959,8,626,8459,18851715.000000
104,45,136,0,0,22,7,240,0,102,1838,881,6795,47,42,1091,7,554,10803,16710760.000000
94,91,141,0,0,28,7,236,0,84,2225,876,7894,45,42,1079,4,597,12249,18012570.000000
104,73,139,0,0,23,6,254,0,85,1773,807,6142,43,42,1041,8,599,9941,18053420.000000
104,58,129,0,0,22,8,218,0,79,1959,857,6920,43,42,1146,8,539,11054,16262875.000000
108,95,139,0,0,22,6,240,0,93,1852,850,6756,47,42,1026,6,610,10672,18389615.000000
110,72,139,0,0,24,3,237,0,90,1804,798,6933,49,42,1048,10,585,10774,17642220.000000
107,64,139,0,0,24,8,264,0,91,1567,799,6635,45,42,965,4,606,10148,18265770.000000
93,45,134,0,0,23,6,261,0,89,1723,754,6040,47,42,1031,11,562,9737,16942835.000000
107,83,133,0,0,25,5,254,0,84,1507,749,6076,47,42,1115,4,607,9624,18290385.000000
108,62,144,0,0,21,6,272,0,89,1755,737,5957,46,42,1055,7,613,9688,18470980.000000
110,83,139,0,0,25,5,224,0,99,1769,854,7016,47,42,1063,7,586,10897,17672335.000000
111,107,143,0,0,24,4,279,0,86,1855,745,5895,46,42,1076,7,668,9752,20120990.000000
96,64,138,0,0,22,6,272,0,82,1848,724,6023,48,42,1065,9,598,9841,18022695.000000
104,63,139,0,0,24,5,253,0,88,1603,802,5420,48,42,1090,7,588,9100,17715385.000000
108,79,146,0,0,24,2,276,0,92,1529,736,5256,46,42,1022,12,635,8735,19124185.000000
110,79,138,0,0,22,7,263,0,92,1702,744,6429,48,42,994,8,619,10059,18655520.000000
110,105,144,0,0,23,5,276,0,94,1789,753,5448,47,42,1070,6,663,9249,19965960.000000
110,56,141,0,0,29,8,268,0,92,1476,761,5168,48,42,1127,2,612,8716,18430730.000000
104,56,140,0,0,25,4,273,0,99,1538,726,6025,47,42,1133,10,602,9620,18141880.000000
108,69,140,0,0,24,6,253,0,100,1688,846,6446,48,42,1096,5,600,10271,18085780.000000
107,55,146,0,0,25,8,254,0,84,2140,902,6998,49,42,1027,6,595,11248,17943735.000000
116,58,143,0,0,22,2,271,0,85,1642,710,5616,47,42,1056,11,612,9209,18438075.000000
119,95,146,0,0,25,6,248,0,85,2146,869,7445,49,42,945,7,639,11588,19267965.000000
111,51,143,0,0,26,5,259,0,85,2266,848,7260,47,42,1039,4,595,11591,17946140.000000
109,58,136,0,0,24,7,241,0,89,1839,860,8024,44,42,1037,5,575,11940,17351955.000000
103,63,126,0,0,25,4,248,0,89,1371,770,5675,45,42,1021,12,569,9025,17147715.000000
108,58,143,0,0,24,6,279,0,83,1630,742,6040,48,42,956,7,618,9548,18620725.000000
108,51,136,0,0,22,4,236,0,81,1766,847,6470,45,42,1051,8,557,10310,16796935.000000
113,66,141,0,0,25,6,256,0,82,1732,839,6755,48,42,1134,7,607,10639,18299755.000000
106,53,132,0,0,24,5,261,0,81,1723,739,6003,45,42,1025,6,581,9664,17510780.000000
104,65,139,0,0,26,5,270,0,94,1756,728,6160,50,42,1032,11,609,9873,18354160.000000
106,69,130,0,0,24,4,239,0,88,1908,854,6999,44,42,1077,6,572,11018,17252515.000000
107,39,147,0,0,25,5,251,0,86,1892,855,6934,48,42,991,6,574,10854,17311430.000000
93,67,143,0,0,25,2,257,0,92,1385,765,5569,47,42,1034,11,587,8945,17686520.000000
110,39,148,0,0,27,6,288,0,85,1683,722,5651,48,42,984,8,618,9223,18617450.000000
110,54,143,0,0,24,6,255,0,92,2108,804,6947,47,42,997,6,592,11043,17852425.000000
111,70,142,0,0,25,6,277,0,99,1519,731,5419,46,42,1103,2,631,8961,19003180.000000
99,38,144,0,0,25,5,252,0,87,1571,815,6281,48,42,1087,11,563,9942,16975080.000000
121,73,149,0,0,25,7,286,0,95,1653,822,5829,48,42,1035,5,661,9529,19908985.000000
107,53,131,0,0,25,7,232,0,90,1887,824,6247,46,42,1195,6,555,10337,16735380.000000
107,31,139,0,0,23,4,254,0,80,1617,689,5573,49,42,1029,16,558,9095,16818795.000000
111,45,138,0,0,28,4,262,0,90,1775,816,6445,47,42,1052,6,588,10273,17726065.000000
102,45,135,0,0,28,5,262,0,89,1690,804,6608,46,42,1035,3,577,10317,17396200.000000
114,59,143,0,0,24,3,245,0,83,2121,838,7124,47,42,1062,4,588,11321,17734110.000000
105,52,142,0,0,26,8,251,0,86,2111,758,6426,44,42,1087,7,584,10561,17607660.000000
107,63,142,0,0,23,2,254,0,73,1820,840,6941,47,42,1016,7,591,10786,17821405.000000
101,60,136,0,0,19,6,267,0,83,1843,770,6028,47,42,1026,6,589,9845,17751840.000000
105,55,136,0,0,24,6,246,0,86,1663,745,5771,46,42,1121,7,572,9481,17239015.000000
102,53,133,0,0,27,6,227,0,95,1841,862,7061,45,42,1146,3,548,11095,16532340.000000
106,58,141,0,0,26,4,258,0,92,2189,864,7097,50,42,971,7,593,11312,17884860.000000
108,62,137,0,0,26,5,255,0,85,1732,783,6310,48,42,1030,10,593,10040,17875420.000000
103,53,145,0,0,23,5,267,0,92,1886,764,6130,47,42,983,5,596,9949,17962575.000000
108,61,137,0,0,25,6,236,0,82,1594,929,7447,45,42,1028,6,573,11173,17285545.000000
101,24,148,0,0,23,7,281,0,85,1468,722,5669,48,42,1008,10,584,9052,17597275.000000
105,34,130,0,0,29,7,248,0,83,1499,798,5644,44,42,1084,5,553,9199,16666350.000000
107,61,141,0,0,24,6,242,0,85,1704,782,6233,47,42,1057,11,581,9961,17514920.000000
100,64,135,0,0,26,4,261,0,84,1557,758,6280,46,42,1029,5,590,9801,17782570.000000
99,56,138,0,0,25,6,259,0,97,1546,804,5794,51,42,1065,6,583,9405,17568530.000000
112,74,143,0,0,22,4,277,0,97,1617,672,5238,51,42,1053,7,632,8777,19032905.000000
106,59,141,0,0,24,4,238,0,78,1593,791,5425,49,42,1126,9,572,9113,17236080.000000
97,68,131,0,0,23,6,246,0,73,1977,817,6616,43,42,1145,7,571,10720,17219390.000000
113,83,146,0,0,23,6,254,0,82,1896,844,6848,46,42,1122,6,625,10886,18841130.000000
105,50,139,0,0,24,3,245,0,78,1595,795,5227,48,42,1088,12,566,8885,17054820.000000
113,108,140,0,0,24,4,249,0,85,1947,850,6856,48,42,983,5,638,10816,19230555.000000
100,59,136,0,0,23,5,243,0,81,2002,799,7316,49,42,1114,4,566,11407,17075530.000000
92,59,142,0,0,24,3,263,0,90,1934,784,5838,49,42,998,6,583,9741,17570400.000000
109,52,143,0,0,27,3,254,0,82,1638,924,7308,49,42,1020,7,588,11070,17734690.000000
117,56,142,0,0,22,7,249,0,89,2038,857,7244,46,42,913,10,593,11239,17886055.000000
103,43,134,0,0,24,6,281,0,106,1375,731,5608,48,42,1067,5,591,8982,17805145.000000
108,70,131,0,0,23,6,268,0,88,1735,753,5826,48,42,1087,7,606,9586,18259845.000000
110,86,146,0,0,27,5,247,0,100,1723,909,6788,47,42,1034,5,621,10648,18719360.000000
115,82,147,0,0,26,3,252,0,93,2086,883,6860,46,42,944,6,625,10960,18841560.000000
106,53,141,0,0,23,3,271,0,87,1443,702,4753,50,42,962,12,597,8051,17978310.000000
115,74,138,0,0,28,5,253,0,97,1707,828,6192,46,42,939,7,613,9858,18473005.000000
93,63,136,0,0,25,10,258,0,93,1612,747,5603,44,42,1066,11,585,9218,17628010.000000
115,47,131,0,0,23,6,236,0,90,1863,839,6461,41,42,1155,7,558,10498,16827475.000000
111,51,142,0,0,22,9,262,0,83,1793,734,6019,46,42,1089,6,597,9812,17991615.000000
116,88,138,0,0,22,4,228,0,85,1982,931,7652,49,42,938,12,596,11691,17980990.000000
110,52,137,0,0,22,5,237,0,98,1944,952,7251,47,42,1115,3,563,11452,16985105.000000
108,67,141,0,0,23,5,258,0,83,1637,823,6737,45,42,1055,5,602,10427,18147970.000000
117,55,139,0,0,27,4,267,0,84,1624,745,5674,52,42,1068,4,609,9293,18346795.000000
114,55,140,0,0,25,6,246,0,90,1946,775,6429,46,42,1125,3,586,10456,17666000.000000
105,70,139,0,0,27,5,254,0,95,1896,781,6771,47,42,1106,4,600,10742,18089450.000000
113,82,139,0,0,25,4,218,0,85,2032,885,7694,49,42,1090,6,581,11883,17530390.000000
111,16,138,0,0,23,6,254,0,84,1913,810,6633,49,42,1069,6,548,10606,16528700.000000
107,54,145,0,0,26,4,255,0,92,1908,854,6809,47,42,1051,3,591,10806,17819665.000000
114,68,142,0,0,22,3,261,0,95,1796,804,6854,48,42,1041,7,610,10687,18390490.000000
110,62,132,0,0,24,8,258,0,84,1737,795,6470,45,42,1062,6,594,10241,17906000.000000
113,57,144,0,0,24,3,270,0,89,1662,728,5782,49,42,1057,5,611,9414,18408190.000000
96,89,141,0,0,24,3,257,0,80,1493,765,6055,50,42,1080,5,610,9570,18380350.000000
98,39,139,0,0,24,6,263,0,83,1596,835,6436,49,42,1074,6,569,10121,17155290.000000
114,81,141,0,0,25,7,253,0,80,1851,746,5749,46,42,1095,8,621,9617,18709880.000000
99,74,134,0,0,21,4,257,0,85,1573,640,5263,47,42,1048,13,589,8711,17744410.000000
117,74,140,0,0,27,6,265,0,103,2328,774,6683,47,42,999,5,629,10981,18960500.000000
113,76,142,0,0,26,6,262,0,80,1948,795,6464,47,42,1081,9,625,10466,18838010.000000
121,59,144,0,0,22,8,280,0,89,1386,677,4939,48,42,1066,9,634,8256,19089350.000000
98,85,137,0,0,24,6,239,0,95,2048,838,6722,45,42,1063,8,589,10861,17760950.000000
112,60,143,0,0,24,5,261,0,101,1779,762,6145,48,42,943,8,605,9828,18232945.000000
106,53,140,0,0,25,4,263,0,92,1757,846,6195,50,42,1014,7,591,10003,17813805.000000
115,76,142,0,0,23,6,258,0,97,1619,822,5909,46,42,1085,7,620,9627,18680435.000000
111,53,138,0,0,27,4,270,0,73,1488,696,5759,46,42,960,17,603,9081,18169905.000000
111,66,143,0,0,22,8,266,0,81,2014,756,6774,47,42,1075,9,616,10798,18571220.000000
105,42,139,0,0,24,8,260,0,76,1847,841,6138,49,42,1045,6,578,10044,17423415.000000
104,27,143,0,0,23,4,236,0,80,1979,868,6809,47,42,1047,11,537,10883,16202410.000000
121,54,146,0,0,22,7,290,0,75,1623,629,5496,46,42,1026,7,640,8944,19274955.000000
111,60,136,0,0,26,7,258,0,88,1744,848,6310,46,42,962,9,598,10049,18025140.000000
97,38,136,0,0,25,9,242,0,81,1685,795,5942,45,42,1087,10,547,9687,16491770.000000
106,80,141,0,0,27,6,251,0,79,1833,831,7142,46,42,1068,7,611,11048,18423705.000000
100,53,132,0,0,25,4,233,0,81,1849,791,7838,48,42,1040,7,547,11696,16510455.000000
105,67,139,0,0,27,6,242,0,78,2009,838,6231,44,42,1068,9,586,10319,17666065.000000
106,61,145,0,0,29,5,263,0,91,1649,783,5725,48,42,1030,9,609,9377,18348885.000000
114,88,147,0,0,27,3,269,0,100,1795,790,6521,45,42,1070,7,648,10370,19527195.000000
115,69,138,0,0,26,8,257,0,82,1812,818,6814,48,42,999,5,613,10620,18479365.000000
120,66,137,0,0,22,6,286,0,84,1790,749,5818,46,42,1114,2,637,9645,19188595.000000
110,44,141,0,0,22,8,239,0,75,1558,806,5834,42,42,1092,10,564,9459,17000045.000000
106,60,140,0,0,25,8,283,0,87,1376,751,5084,48,42,1014,4,622,8406,18729350.000000
105,49,137,0,0,23,6,277,0,86,1767,711,5705,46,42,1049,6,597,9412,17988045.000000
113,96,146,0,0,27,7,242,0,90,1876,1031,7437,50,42,1027,2,631,11555,19026300.000000
