countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft,res,countGenderMixHardBest,countIncompatibleRoomsHardBest,countOvercrowdedCapacityHardBest,countUnadmittedMandatoryHardBest,countLateAdmittedMandatoryHardBest,countSurgeonOvertimeHardBest,countOTOvertimeHardBest,countUncoveredRoomHardBest,countNursePresentOnWrongDayHardBest,countMixedAgeGroupsBest,countMinimumSkillLevelExceededBest,countUncontinuousCareBest,countMaximumWorkloadExcceededBest,countOpenOTsBest,countSurgeonTransferBest,countAdmissionDelayBest,countUncheduledOptionalBest,countTotalHardBest,countTotalSoftBest,resBest,actualTemp
9,6,37,0,0,0,0,0,0,7,466,106,2313,8,14,75,12,52,3001,1853261.000000,12,0,40,0,0,0,0,0,0,7,466,106,2313,8,14,75,12,52,3001,1853261.000000,597.000000
9,6,37,0,0,1,1,0,0,7,484,106,2313,9,14,74,12,54,3019,1923461.000000,12,0,40,0,0,0,0,0,0,7,466,106,2313,8,14,75,12,52,3001,1853261.000000,594.015000
9,6,37,0,0,1,1,0,0,7,466,106,2313,9,14,78,11,54,3004,1922971.000000,12,0,40,0,0,0,0,0,0,7,466,106,2313,8,14,75,12,52,3001,1853261.000000,594.015000
9,6,37,0,0,1,1,0,0,7,466,106,2313,9,14,80,10,54,3005,1922641.000000,12,0,40,0,0,0,0,0,0,7,466,106,2313,8,14,75,12,52,3001,1853261.000000,591.044925
9,6,34,0,0,2,2,0,0,10,470,106,2313,10,14,83,10,53,3016,1887756.000000,12,0,40,0,0,0,0,0,0,7,466,106,2313,8,14,75,12,52,3001,1853261.000000,579.312388
9,6,34,0,0,3,2,0,0,9,460,105,2257,10,14,88,10,54,2953,1922140.000000,12,0,40,0,0,0,0,0,0,7,466,106,2313,8,14,75,12,52,3001,1853261.000000,576.415826
9,6,34,0,0,3,2,0,0,9,460,105,2257,11,14,88,10,54,2954,1922170.000000,12,0,40,0,0,0,0,0,0,7,466,106,2313,8,14,75,12,52,3001,1853261.000000,573.533747
9,6,34,0,0,3,2,0,0,9,456,105,2257,10,14,87,10,54,2948,1922090.000000,12,0,40,0,0,0,0,0,0,7,466,106,2313,8,14,75,12,52,3001,1853261.000000,573.533747
5,6,34,0,0,3,2,0,0,9,456,105,2257,10,14,87,10,50,2948,1782090.000000,5,6,34,0,0,3,2,0,0,9,456,105,2257,10,14,87,10,50,2948,1782090.000000,562.148816
5,6,34,0,0,3,2,0,0,9,474,105,2257,10,14,86,10,50,2965,1782260.000000,5,6,34,0,0,3,2,0,0,9,456,105,2257,10,14,87,10,50,2948,1782090.000000,556.541381
5,6,34,0,0,3,2,0,0,9,456,105,2257,10,14,87,10,50,2948,1782090.000000,5,6,34,0,0,3,2,0,0,9,456,105,2257,10,14,87,10,50,2948,1782090.000000,553.758674
5,6,34,0,0,4,2,0,0,9,452,105,2257,11,14,86,10,51,2944,1817070.000000,5,6,34,0,0,3,2,0,0,9,456,105,2257,10,14,87,10,50,2948,1782090.000000,550.989881
9,6,37,0,0,4,2,3,0,9,522,111,2509,11,14,86,10,61,3272,2170296.000000,5,6,34,0,0,3,2,0,0,9,456,105,2257,10,14,87,10,50,2948,1782090.000000,548.234932
5,6,33,0,0,4,2,0,0,9,466,104,2257,11,14,91,10,50,2962,1782259.000000,5,6,34,0,0,3,2,0,0,9,456,105,2257,10,14,87,10,50,2948,1782090.000000,548.234932
5,6,29,0,0,4,2,0,0,9,466,104,2257,11,14,91,10,46,2962,1642259.000000,5,6,29,0,0,4,2,0,0,9,466,104,2257,11,14,91,10,46,2962,1642259.000000,534.665433
5,6,29,0,0,4,3,0,0,9,466,104,2257,12,14,97,9,47,2968,1676999.000000,5,6,29,0,0,4,2,0,0,9,466,104,2257,11,14,91,10,46,2962,1642259.000000,518.824638
5,6,29,0,0,4,4,0,0,9,466,104,2257,13,14,101,8,48,2972,1711719.000000,5,6,29,0,0,4,2,0,0,9,466,104,2257,11,14,91,10,46,2962,1642259.000000,516.230515
5,6,26,0,0,4,3,0,0,9,463,106,2257,12,14,94,9,44,2964,1571941.000000,5,6,26,0,0,4,3,0,0,9,463,106,2257,12,14,94,9,44,2964,1571941.000000,516.230515
5,6,26,0,0,4,3,0,0,9,459,105,2257,12,14,96,9,44,2961,1571920.000000,5,6,26,0,0,4,3,0,0,9,459,105,2257,12,14,96,9,44,2961,1571920.000000,511.081116
5,6,26,0,0,4,3,0,0,9,459,106,2257,12,14,90,9,44,2956,1571861.000000,5,6,26,0,0,4,3,0,0,9,459,106,2257,12,14,90,9,44,2956,1571861.000000,505.983082
5,6,26,0,0,4,3,0,0,9,471,107,2257,13,14,91,9,44,2971,1572022.000000,5,6,26,0,0,4,3,0,0,9,459,106,2257,12,14,90,9,44,2956,1571861.000000,503.453166
