countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft,res,countGenderMixHardBest,countIncompatibleRoomsHardBest,countOvercrowdedCapacityHardBest,countUnadmittedMandatoryHardBest,countLateAdmittedMandatoryHardBest,countSurgeonOvertimeHardBest,countOTOvertimeHardBest,countUncoveredRoomHardBest,countNursePresentOnWrongDayHardBest,countMixedAgeGroupsBest,countMinimumSkillLevelExceededBest,countUncontinuousCareBest,countMaximumWorkloadExcceededBest,countOpenOTsBest,countSurgeonTransferBest,countAdmissionDelayBest,countUncheduledOptionalBest,countTotalHardBest,countTotalSoftBest,resBest,actualTemp
73,0,109,0,0,0,0,0,0,59,1144,561,7416,18,42,184,1,182,9425,8244312.000000,73,0,109,0,0,0,0,0,0,58,1144,561,7416,18,42,184,1,182,9424,8244307.000000,597.000000
73,0,108,0,0,0,0,0,0,58,1144,561,7416,18,42,184,1,181,9424,8199307.000000,73,0,108,0,0,0,0,0,0,58,1144,561,7416,18,42,184,1,181,9424,8199307.000000,597.000000
70,0,109,0,0,1,0,0,0,58,1136,564,7416,18,42,188,1,180,9423,8154282.000000,70,0,109,0,0,1,0,0,0,58,1136,564,7416,18,42,188,1,180,9423,8154282.000000,594.015000
68,0,109,0,0,1,0,0,0,59,1136,564,7416,18,42,188,1,178,9424,8064287.000000,68,0,109,0,0,1,0,0,0,59,1136,564,7416,18,42,188,1,178,9424,8064287.000000,591.044925
68,0,109,0,0,1,1,0,0,59,1136,564,7416,18,42,188,1,179,9424,8109287.000000,68,0,109,0,0,1,0,0,0,59,1136,564,7416,18,42,188,1,178,9424,8064287.000000,588.089700
68,0,109,0,0,1,1,0,0,59,1126,564,7416,18,42,186,1,179,9412,8109167.000000,68,0,109,0,0,1,0,0,0,59,1136,564,7416,18,42,188,1,178,9424,8064287.000000,585.149252
63,0,103,0,0,1,1,0,0,59,1126,564,7416,18,42,186,1,168,9412,7614167.000000,63,0,103,0,0,1,1,0,0,59,1126,564,7416,18,42,186,1,168,9412,7614167.000000,582.223506
60,0,101,0,0,1,1,0,0,57,1126,564,7416,18,42,186,1,163,9410,7389157.000000,60,0,101,0,0,1,1,0,0,57,1126,564,7416,18,42,186,1,163,9410,7389157.000000,564.973684
57,0,103,0,0,1,1,0,0,55,1126,564,7416,18,42,186,1,162,9408,7344147.000000,57,0,103,0,0,1,1,0,0,55,1126,564,7416,18,42,186,1,162,9408,7344147.000000,562.148816
60,0,103,0,0,1,1,0,0,56,1126,564,7416,18,42,186,1,165,9409,7479152.000000,57,0,103,0,0,1,1,0,0,55,1126,564,7416,18,42,186,1,162,9408,7344147.000000,556.541381
