countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft,res,countGenderMixHardBest,countIncompatibleRoomsHardBest,countOvercrowdedCapacityHardBest,countUnadmittedMandatoryHardBest,countLateAdmittedMandatoryHardBest,countSurgeonOvertimeHardBest,countOTOvertimeHardBest,countUncoveredRoomHardBest,countNursePresentOnWrongDayHardBest,countMixedAgeGroupsBest,countMinimumSkillLevelExceededBest,countUncontinuousCareBest,countMaximumWorkloadExcceededBest,countOpenOTsBest,countSurgeonTransferBest,countAdmissionDelayBest,countUncheduledOptionalBest,countTotalHardBest,countTotalSoftBest,resBest,actualTemp
131,0,149,0,0,1,0,0,0,81,5024,646,14323,24,42,606,53,281,20799,8621605.000000,131,0,149,0,0,0,0,0,0,81,5020,648,14323,23,42,597,53,280,20787,8591530.000000,600.000000
130,0,149,0,0,1,0,0,0,79,5022,647,14323,24,42,590,53,280,20780,8591510.000000,130,0,149,0,0,1,0,0,0,79,5022,647,14323,24,42,590,53,280,20780,8591510.000000,600.000000
131,0,149,0,0,1,0,0,0,80,4996,650,14323,24,42,598,53,281,20766,8621440.000000,130,0,149,0,0,1,0,0,0,79,5022,647,14323,24,42,590,53,280,20780,8591510.000000,600.000000
128,0,148,0,0,1,1,0,0,80,5020,648,14323,24,42,600,53,278,20790,8531560.000000,128,0,148,0,0,1,1,0,0,80,5020,648,14323,24,42,600,53,278,20790,8531560.000000,600.000000
129,0,148,0,0,1,1,0,0,80,5020,648,14323,24,42,600,53,279,20790,8561560.000000,128,0,148,0,0,1,1,0,0,80,5020,648,14323,24,42,600,53,278,20790,8531560.000000,597.000000
125,0,148,0,0,1,1,0,0,80,5020,648,14323,24,42,600,53,275,20790,8441560.000000,125,0,148,0,0,1,1,0,0,80,5020,648,14323,24,42,600,53,275,20790,8441560.000000,597.000000
128,0,148,0,0,2,2,0,0,80,5035,646,14323,25,42,605,53,280,20809,8591670.000000,125,0,148,0,0,1,1,0,0,80,5020,648,14323,24,42,600,53,275,20790,8441560.000000,597.000000
128,0,148,0,0,2,1,0,0,81,5032,648,14323,24,42,603,53,279,20806,8561640.000000,125,0,148,0,0,1,1,0,0,80,5020,648,14323,24,42,600,53,275,20790,8441560.000000,597.000000
128,0,148,0,0,2,1,0,0,80,5020,646,14323,24,42,594,53,279,20782,8561520.000000,125,0,148,0,0,1,1,0,0,80,5020,648,14323,24,42,600,53,275,20790,8441560.000000,597.000000
128,0,148,0,0,2,1,0,0,81,5020,646,14323,24,42,594,53,279,20783,8561525.000000,125,0,148,0,0,1,1,0,0,80,5020,648,14323,24,42,600,53,275,20790,8441560.000000,594.015000
128,3,148,0,0,2,1,0,0,80,5020,646,14323,24,42,594,53,282,20782,8651520.000000,125,0,148,0,0,1,1,0,0,80,5020,648,14323,24,42,600,53,275,20790,8441560.000000,594.015000
127,0,148,0,0,3,1,0,0,78,5022,645,14323,25,42,590,53,279,20778,8561515.000000,125,0,148,0,0,1,1,0,0,80,5020,648,14323,24,42,600,53,275,20790,8441560.000000,594.015000
126,0,148,0,0,3,1,0,0,79,5020,645,14323,25,42,589,53,278,20776,8531505.000000,125,0,148,0,0,1,1,0,0,80,5020,648,14323,24,42,600,53,275,20790,8441560.000000,594.015000
120,0,148,0,0,4,1,0,0,79,5014,645,14323,26,42,595,53,273,20777,8381525.000000,120,0,148,0,0,4,1,0,0,79,5014,645,14323,26,42,595,53,273,20777,8381525.000000,591.044925
126,0,148,0,0,4,2,0,0,79,5020,645,14323,26,42,591,52,280,20778,8591235.000000,120,0,148,0,0,4,1,0,0,79,5014,645,14323,26,42,595,53,273,20777,8381525.000000,591.044925
126,0,148,0,0,3,1,0,0,78,5020,645,14323,26,42,600,53,278,20787,8531575.000000,120,0,148,0,0,4,1,0,0,79,5014,645,14323,26,42,595,53,273,20777,8381525.000000,591.044925
126,0,148,0,0,3,1,0,0,79,5022,644,14323,26,42,582,53,278,20771,8531495.000000,120,0,148,0,0,4,1,0,0,79,5014,645,14323,26,42,595,53,273,20777,8381525.000000,591.044925
126,0,148,0,0,3,2,0,0,79,5022,644,14323,26,42,582,53,279,20771,8561495.000000,120,0,148,0,0,4,1,0,0,79,5014,645,14323,26,42,595,53,273,20777,8381525.000000,588.089700
127,0,148,0,0,3,1,0,0,80,5022,644,14323,26,42,582,53,279,20772,8561500.000000,120,0,148,0,0,4,1,0,0,79,5014,645,14323,26,42,595,53,273,20777,8381525.000000,588.089700
124,0,148,0,0,3,1,0,0,79,5030,642,14323,27,42,590,53,276,20786,8471585.000000,120,0,148,0,0,4,1,0,0,79,5014,645,14323,26,42,595,53,273,20777,8381525.000000,588.089700
126,0,149,0,0,4,1,0,0,82,5052,648,14560,27,42,578,53,280,21042,8594050.000000,120,0,148,0,0,4,1,0,0,79,5014,645,14323,26,42,595,53,273,20777,8381525.000000,588.089700
126,0,148,0,0,4,2,0,0,79,5022,644,14323,27,42,590,52,280,20779,8591255.000000,120,0,148,0,0,4,1,0,0,79,5014,645,14323,26,42,595,53,273,20777,8381525.000000,588.089700
120,0,147,0,0,3,1,0,0,78,5004,645,14323,27,42,592,53,271,20764,8321475.000000,120,0,147,0,0,3,1,0,0,78,5004,645,14323,27,42,592,53,271,20764,8321475.000000,588.089700
115,0,147,0,0,3,1,0,0,71,5004,645,14323,27,42,592,53,266,20757,8171440.000000,115,0,147,0,0,3,1,0,0,71,5004,645,14323,27,42,592,53,266,20757,8171440.000000,585.149252
120,0,147,0,0,4,2,0,0,78,5004,645,14323,28,42,593,52,273,20765,8381200.000000,115,0,147,0,0,3,1,0,0,71,5004,645,14323,27,42,592,53,266,20757,8171440.000000,585.149252
120,0,147,0,0,4,2,0,0,78,5004,645,14323,28,42,597,52,273,20769,8381220.000000,115,0,147,0,0,3,1,0,0,71,5004,645,14323,27,42,592,53,266,20757,8171440.000000,585.149252
120,0,147,0,0,4,2,0,0,78,5004,645,14323,28,42,598,52,273,20770,8381225.000000,115,0,147,0,0,3,1,0,0,71,5004,645,14323,27,42,592,53,266,20757,8171440.000000,585.149252
119,0,147,0,0,3,1,0,0,78,5008,644,14323,27,42,598,53,270,20773,8291520.000000,115,0,147,0,0,3,1,0,0,71,5004,645,14323,27,42,592,53,266,20757,8171440.000000,585.149252
118,0,147,0,0,3,1,0,0,78,4998,644,14323,27,42,604,53,269,20769,8261500.000000,115,0,147,0,0,3,1,0,0,71,5004,645,14323,27,42,592,53,266,20757,8171440.000000,582.223506
117,0,147,0,0,4,1,0,0,78,5012,644,14323,27,42,606,53,269,20785,8261580.000000,115,0,147,0,0,3,1,0,0,71,5004,645,14323,27,42,592,53,266,20757,8171440.000000,582.223506
118,0,147,0,0,3,1,0,0,78,5008,642,14323,27,42,595,53,269,20768,8261495.000000,115,0,147,0,0,3,1,0,0,71,5004,645,14323,27,42,592,53,266,20757,8171440.000000,582.223506
119,0,147,0,0,3,1,0,0,80,5008,644,14323,27,42,595,53,270,20772,8291515.000000,115,0,147,0,0,3,1,0,0,71,5004,645,14323,27,42,592,53,266,20757,8171440.000000,582.223506
119,0,147,0,0,3,1,0,0,78,5008,644,14323,27,42,595,53,270,20770,8291505.000000,115,0,147,0,0,3,1,0,0,71,5004,645,14323,27,42,592,53,266,20757,8171440.000000,579.312388
109,0,145,0,0,3,1,0,0,77,5008,644,14323,27,42,595,53,258,20769,7931500.000000,109,0,145,0,0,3,1,0,0,77,5008,644,14323,27,42,595,53,258,20769,7931500.000000,579.312388
118,0,146,0,0,3,1,0,0,79,5008,644,14323,27,42,595,53,268,20771,8231510.000000,109,0,145,0,0,3,1,0,0,77,5008,644,14323,27,42,595,53,258,20769,7931500.000000,579.312388
