countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft,res,countGenderMixHardBest,countIncompatibleRoomsHardBest,countOvercrowdedCapacityHardBest,countUnadmittedMandatoryHardBest,countLateAdmittedMandatoryHardBest,countSurgeonOvertimeHardBest,countOTOvertimeHardBest,countUncoveredRoomHardBest,countNursePresentOnWrongDayHardBest,countMixedAgeGroupsBest,countMinimumSkillLevelExceededBest,countUncontinuousCareBest,countMaximumWorkloadExcceededBest,countOpenOTsBest,countSurgeonTransferBest,countAdmissionDelayBest,countUncheduledOptionalBest,countTotalHardBest,countTotalSoftBest,resBest,actualTemp
47,0,70,0,0,0,0,0,0,34,615,239,3134,12,21,70,73,117,4198,1783308.000000,47,0,70,0,0,0,0,0,0,34,615,239,3134,12,21,70,73,117,4198,1783308.000000,594.015000
47,0,70,0,0,1,1,0,0,34,615,239,3134,13,21,72,72,119,4200,1813188.000000,47,0,70,0,0,0,0,0,0,34,615,239,3134,12,21,70,73,117,4198,1783308.000000,585.149252
46,0,69,0,0,1,1,0,0,29,615,239,3134,13,21,72,72,117,4195,1783183.000000,46,0,69,0,0,1,1,0,0,29,615,239,3134,13,21,72,72,117,4195,1783183.000000,582.223506
47,0,70,0,0,2,2,0,0,34,615,239,3134,14,21,74,71,121,4202,1843068.000000,46,0,69,0,0,1,1,0,0,29,615,239,3134,13,21,72,72,117,4195,1783183.000000,582.223506
47,0,70,0,0,2,2,0,0,34,615,239,3134,14,21,80,71,121,4208,1843098.000000,46,0,69,0,0,1,1,0,0,29,615,239,3134,13,21,72,72,117,4195,1783183.000000,582.223506
43,0,74,0,0,2,2,18,0,34,583,236,2854,14,21,80,71,139,3893,2111663.000000,46,0,69,0,0,1,1,0,0,29,615,239,3134,13,21,72,72,117,4195,1783183.000000,576.415826
44,0,74,0,0,2,2,15,0,36,575,238,2878,14,21,80,71,137,3913,2081779.000000,46,0,69,0,0,1,1,0,0,29,615,239,3134,13,21,72,72,117,4195,1783183.000000,576.415826
44,0,74,0,0,3,3,15,0,36,575,238,2878,15,21,84,70,139,3917,2111669.000000,46,0,69,0,0,1,1,0,0,29,615,239,3134,13,21,72,72,117,4195,1783183.000000,573.533747
40,0,69,0,0,4,3,15,0,40,570,239,2878,15,21,90,70,131,3923,1991699.000000,46,0,69,0,0,1,1,0,0,29,615,239,3134,13,21,72,72,117,4195,1783183.000000,564.973684
44,0,74,0,0,4,4,15,0,36,575,238,2878,16,21,97,69,141,3930,2141604.000000,46,0,69,0,0,1,1,0,0,29,615,239,3134,13,21,72,72,117,4195,1783183.000000,564.973684
44,0,74,0,0,4,4,15,0,36,575,238,2878,16,21,100,69,141,3933,2141619.000000,46,0,69,0,0,1,1,0,0,29,615,239,3134,13,21,72,72,117,4195,1783183.000000,562.148816
44,0,74,0,0,3,3,15,0,36,575,238,2878,15,21,95,69,139,3927,2111574.000000,46,0,69,0,0,1,1,0,0,29,615,239,3134,13,21,72,72,117,4195,1783183.000000,562.148816
42,0,78,0,0,3,3,21,0,34,555,237,2818,15,21,95,69,147,3844,2231251.000000,46,0,69,0,0,1,1,0,0,29,615,239,3134,13,21,72,72,117,4195,1783183.000000,556.541381
44,0,74,0,0,4,3,15,0,36,569,239,2878,16,21,97,69,140,3925,2126599.000000,46,0,69,0,0,1,1,0,0,29,615,239,3134,13,21,72,72,117,4195,1783183.000000,556.541381
43,0,74,0,0,4,3,15,0,35,569,239,2878,16,21,97,69,139,3924,2111598.000000,46,0,69,0,0,1,1,0,0,29,615,239,3134,13,21,72,72,117,4195,1783183.000000,553.758674
45,0,70,0,0,5,3,15,0,37,569,240,2878,17,21,104,69,138,3935,2096656.000000,46,0,69,0,0,1,1,0,0,29,615,239,3134,13,21,72,72,117,4195,1783183.000000,550.989881
45,0,64,0,0,5,3,0,0,35,609,241,3134,17,21,104,69,117,4230,1782975.000000,45,0,64,0,0,5,3,0,0,35,609,241,3134,17,21,104,69,117,4230,1782975.000000,548.234932
45,0,64,0,0,5,3,0,0,35,609,241,3134,17,21,112,68,117,4237,1782865.000000,45,0,64,0,0,5,3,0,0,35,609,241,3134,17,21,112,68,117,4237,1782865.000000,545.493757
45,0,64,0,0,5,4,0,0,35,609,241,3134,18,21,113,67,118,4238,1797740.000000,45,0,64,0,0,5,3,0,0,35,609,241,3134,17,21,112,68,117,4237,1782865.000000,531.992106
41,0,64,0,0,5,4,0,0,35,609,241,3134,18,21,113,67,114,4238,1737740.000000,41,0,64,0,0,5,4,0,0,35,609,241,3134,18,21,113,67,114,4238,1737740.000000,521.431797
42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,119,67,110,4242,1677768.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,119,67,110,4242,1677768.000000,518.824638
42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,511.081116
42,0,60,0,0,4,5,0,0,35,609,239,3134,18,21,128,66,111,4250,1692663.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,508.525710
42,0,60,0,0,5,6,0,0,35,609,239,3134,19,21,133,65,113,4255,1722558.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,500.935900
42,0,60,0,0,5,7,0,0,35,609,239,3134,20,21,144,64,114,4266,1737483.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,495.939065
42,0,60,0,0,5,6,0,0,35,609,239,3134,22,21,144,64,113,4268,1722523.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,493.459369
42,0,63,0,0,5,6,6,0,35,593,237,3082,22,21,144,64,122,4198,1857245.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,490.992073
42,0,59,0,0,5,6,9,0,35,600,234,3077,22,21,155,64,121,4208,1842279.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,490.992073
42,0,60,0,0,6,7,0,0,35,609,239,3134,23,21,146,63,115,4270,1752403.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,490.992073
46,0,60,0,0,6,7,0,0,35,639,247,3350,23,21,146,63,119,4524,1813521.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,488.537112
42,0,60,0,0,6,8,0,0,35,609,239,3134,24,21,149,62,116,4273,1767288.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,488.537112
42,0,60,0,0,6,8,0,0,35,609,239,3134,24,21,150,61,116,4273,1767143.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,486.094427
39,0,60,0,0,6,8,0,0,36,609,239,3134,24,21,150,61,113,4274,1722144.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,478.839407
40,0,58,0,0,7,9,0,0,37,645,236,3134,24,21,154,61,114,4312,1737198.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,469.334205
40,0,58,0,0,7,9,0,0,37,645,236,3134,24,21,162,60,114,4319,1737088.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,464.652597
40,0,58,0,0,7,9,0,0,37,645,236,3134,24,21,165,60,114,4322,1737103.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,464.652597
39,0,58,0,0,7,9,0,0,36,641,236,3134,24,21,166,60,113,4318,1722103.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,462.329334
38,0,58,0,0,7,9,0,0,37,641,236,3134,24,21,166,60,112,4319,1707104.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,457.717598
39,0,58,0,0,7,8,0,0,36,641,236,3134,23,21,173,60,112,4324,1707118.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,457.717598
39,0,58,0,0,7,8,0,0,36,641,236,3134,23,21,183,59,112,4333,1707018.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,453.151865
39,0,58,0,0,7,8,0,0,36,641,236,3134,23,21,195,58,112,4344,1706928.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,446.388517
39,0,58,0,0,7,8,9,0,36,641,236,3134,23,21,195,58,121,4344,1841928.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,444.156575
39,0,58,0,0,7,8,9,0,36,641,236,3134,23,21,204,57,121,4352,1841823.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,441.935792
39,0,57,0,0,7,8,9,0,36,653,234,3134,23,21,212,57,120,4370,1826873.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,437.527482
39,0,57,0,0,7,9,9,0,36,653,234,3134,24,21,216,57,121,4375,1841913.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,435.339845
37,0,57,0,0,7,9,15,0,36,647,230,3114,24,21,216,57,125,4345,1901803.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,433.163146
39,0,57,0,0,7,9,9,0,36,653,234,3134,24,21,219,56,121,4377,1841778.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,433.163146
43,0,58,0,0,7,9,9,0,36,653,234,3134,24,21,219,56,126,4377,1916778.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,430.997330
39,0,57,0,0,8,9,9,0,36,653,234,3134,24,21,224,55,122,4381,1856653.000000,42,0,60,0,0,4,4,0,0,35,609,239,3134,18,21,128,66,110,4250,1677663.000000,430.997330
