countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft,res,countGenderMixHardBest,countIncompatibleRoomsHardBest,countOvercrowdedCapacityHardBest,countUnadmittedMandatoryHardBest,countLateAdmittedMandatoryHardBest,countSurgeonOvertimeHardBest,countOTOvertimeHardBest,countUncoveredRoomHardBest,countNursePresentOnWrongDayHardBest,countMixedAgeGroupsBest,countMinimumSkillLevelExceededBest,countUncontinuousCareBest,countMaximumWorkloadExcceededBest,countOpenOTsBest,countSurgeonTransferBest,countAdmissionDelayBest,countUncheduledOptionalBest,countTotalHardBest,countTotalSoftBest,resBest,actualTemp
130,0,149,0,0,1,0,0,0,81,5015,649,14323,24,42,596,53,280,20783,8591525.000000,130,0,149,0,0,1,0,0,0,81,5015,649,14323,24,42,596,53,280,20783,8591525.000000,600.000000
129,0,149,0,0,2,0,0,0,80,5015,649,14323,25,42,597,53,280,20784,8591545.000000,130,0,149,0,0,1,0,0,0,81,5015,649,14323,24,42,596,53,280,20783,8591525.000000,597.000000
129,0,149,0,0,3,1,0,0,80,5015,649,14323,26,42,608,52,282,20795,8651320.000000,130,0,149,0,0,1,0,0,0,81,5015,649,14323,24,42,596,53,280,20783,8591525.000000,591.044925
129,0,149,0,0,4,2,0,0,80,5007,650,14323,26,42,614,52,284,20794,8711315.000000,130,0,149,0,0,1,0,0,0,81,5015,649,14323,24,42,596,53,280,20783,8591525.000000,588.089700
129,0,149,0,0,5,3,0,0,80,5007,650,14323,27,42,624,51,286,20804,8771085.000000,130,0,149,0,0,1,0,0,0,81,5015,649,14323,24,42,596,53,280,20783,8591525.000000,585.149252
127,0,149,0,0,5,3,0,0,78,5007,650,14323,27,42,624,51,284,20802,8711075.000000,130,0,149,0,0,1,0,0,0,81,5015,649,14323,24,42,596,53,280,20783,8591525.000000,567.812748
129,0,149,0,0,6,4,0,0,80,5007,650,14323,28,42,631,50,288,20811,8830840.000000,130,0,149,0,0,1,0,0,0,81,5015,649,14323,24,42,596,53,280,20783,8591525.000000,567.812748
129,0,149,0,0,6,4,0,0,80,5013,650,14323,28,42,635,50,288,20821,8830890.000000,130,0,149,0,0,1,0,0,0,81,5015,649,14323,24,42,596,53,280,20783,8591525.000000,556.541381
126,0,149,0,0,6,4,0,0,80,5013,650,14323,28,42,635,50,285,20821,8740890.000000,130,0,149,0,0,1,0,0,0,81,5015,649,14323,24,42,596,53,280,20783,8591525.000000,553.758674
125,0,148,0,0,6,4,0,0,80,5013,651,14323,28,42,648,50,283,20835,8680960.000000,130,0,149,0,0,1,0,0,0,81,5015,649,14323,24,42,596,53,280,20783,8591525.000000,553.758674
122,0,148,0,0,6,4,0,0,80,5013,651,14323,28,42,648,50,280,20835,8590960.000000,122,0,148,0,0,6,4,0,0,80,5013,651,14323,28,42,648,50,280,20835,8590960.000000,537.352194
119,0,148,0,0,6,4,0,0,80,5007,653,14323,28,42,652,50,277,20835,8500960.000000,119,0,148,0,0,6,4,0,0,80,5007,653,14323,28,42,652,50,277,20835,8500960.000000,511.081116
119,0,147,0,0,6,4,0,0,80,4917,654,14146,29,42,657,50,276,20575,8468790.000000,119,0,147,0,0,6,4,0,0,80,4917,654,14146,29,42,657,50,276,20575,8468790.000000,508.525710
118,0,147,0,0,6,4,0,0,80,4917,654,14146,29,42,657,50,275,20575,8438790.000000,118,0,147,0,0,6,4,0,0,80,4917,654,14146,29,42,657,50,275,20575,8438790.000000,498.431221
112,0,147,0,0,6,4,0,0,80,4917,654,14146,29,42,657,50,269,20575,8258790.000000,112,0,147,0,0,6,4,0,0,80,4917,654,14146,29,42,657,50,269,20575,8258790.000000,493.459369
113,0,145,0,0,6,4,0,0,78,4917,654,14146,29,42,657,50,268,20573,8228780.000000,113,0,145,0,0,6,4,0,0,78,4917,654,14146,29,42,657,50,268,20573,8228780.000000,488.537112
113,0,145,0,0,6,4,0,0,78,4917,654,14146,29,42,665,49,268,20580,8228520.000000,113,0,145,0,0,6,4,0,0,78,4917,654,14146,29,42,665,49,268,20580,8228520.000000,478.839407
112,0,144,0,0,6,4,0,0,77,4917,654,14146,29,42,665,49,266,20579,8168515.000000,112,0,144,0,0,6,4,0,0,77,4917,654,14146,29,42,665,49,266,20579,8168515.000000,469.334205
