countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft,res,countGenderMixHardBest,countIncompatibleRoomsHardBest,countOvercrowdedCapacityHardBest,countUnadmittedMandatoryHardBest,countLateAdmittedMandatoryHardBest,countSurgeonOvertimeHardBest,countOTOvertimeHardBest,countUncoveredRoomHardBest,countNursePresentOnWrongDayHardBest,countMixedAgeGroupsBest,countMinimumSkillLevelExceededBest,countUncontinuousCareBest,countMaximumWorkloadExcceededBest,countOpenOTsBest,countSurgeonTransferBest,countAdmissionDelayBest,countUncheduledOptionalBest,countTotalHardBest,countTotalSoftBest,resBest,actualTemp
61,0,107,0,0,1,1,0,0,32,852,342,6960,13,21,461,44,170,8725,4344857.000000,61,0,107,0,0,0,0,0,0,32,852,342,6960,12,21,447,45,168,8711,4294927.000000,600.000000
61,0,107,0,0,2,2,0,0,32,852,342,6960,14,21,468,43,172,8732,4394717.000000,61,0,107,0,0,0,0,0,0,32,852,342,6960,12,21,447,45,168,8711,4294927.000000,594.015000
61,0,107,0,0,3,3,0,0,32,852,342,6960,15,21,474,42,174,8738,4444567.000000,61,0,107,0,0,0,0,0,0,32,852,342,6960,12,21,447,45,168,8711,4294927.000000,591.044925
61,0,107,0,0,3,3,0,0,32,854,342,6960,15,21,468,42,174,8734,4444527.000000,61,0,107,0,0,0,0,0,0,32,852,342,6960,12,21,447,45,168,8711,4294927.000000,588.089700
60,0,107,0,0,4,3,0,0,32,846,341,6960,16,21,465,42,174,8723,4444456.000000,61,0,107,0,0,0,0,0,0,32,852,342,6960,12,21,447,45,168,8711,4294927.000000,588.089700
60,0,106,0,0,3,3,0,0,32,843,340,6960,16,21,460,42,172,8714,4394375.000000,61,0,107,0,0,0,0,0,0,32,852,342,6960,12,21,447,45,168,8711,4294927.000000,582.223506
58,0,104,0,0,4,3,0,0,32,841,341,6960,17,21,457,42,169,8711,4319366.000000,61,0,107,0,0,0,0,0,0,32,852,342,6960,12,21,447,45,168,8711,4294927.000000,573.533747
57,0,104,0,0,5,3,0,0,32,835,340,6960,17,21,463,42,169,8710,4319365.000000,61,0,107,0,0,0,0,0,0,32,852,342,6960,12,21,447,45,168,8711,4294927.000000,570.666078
57,0,104,0,0,5,3,0,0,32,835,340,6960,17,21,472,41,169,8718,4319205.000000,61,0,107,0,0,0,0,0,0,32,852,342,6960,12,21,447,45,168,8711,4294927.000000,567.812748
57,0,104,0,0,6,4,0,0,32,835,340,6960,18,21,471,41,171,8718,4369235.000000,61,0,107,0,0,0,0,0,0,32,852,342,6960,12,21,447,45,168,8711,4294927.000000,567.812748
57,0,108,0,0,6,4,12,0,32,823,334,6860,18,21,471,41,187,8600,4768109.000000,61,0,107,0,0,0,0,0,0,32,852,342,6960,12,21,447,45,168,8711,4294927.000000,564.973684
56,0,103,0,0,5,5,0,0,32,835,339,6960,18,21,466,41,169,8712,4319184.000000,61,0,107,0,0,0,0,0,0,32,852,342,6960,12,21,447,45,168,8711,4294927.000000,564.973684
53,0,107,0,0,5,5,12,0,32,831,334,6864,18,21,466,41,182,8607,4643179.000000,61,0,107,0,0,0,0,0,0,32,852,342,6960,12,21,447,45,168,8711,4294927.000000,562.148816
54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,562.148816
56,0,103,0,0,5,4,0,0,32,841,339,6960,19,21,470,41,168,8723,4294324.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,562.148816
56,0,103,0,0,5,4,0,0,32,841,339,6960,19,21,472,40,168,8724,4294094.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,559.338072
56,0,103,0,0,5,4,0,0,32,841,339,6960,19,21,486,39,168,8737,4293984.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,553.758674
55,0,106,0,0,5,4,9,0,32,838,333,6906,19,21,486,39,179,8674,4568408.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,550.989881
55,0,106,0,0,5,4,9,0,32,838,333,6906,19,21,492,38,179,8679,4568218.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,545.493757
47,0,106,0,0,5,4,9,0,24,838,333,6906,19,21,492,38,171,8671,4368178.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,542.766288
47,0,105,0,0,5,4,9,0,24,846,332,6906,20,21,488,38,170,8675,4343257.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,534.665433
48,0,105,0,0,6,4,12,0,24,848,331,6896,20,21,485,38,175,8663,4468146.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,531.992106
47,0,105,0,0,6,4,9,0,24,846,332,6906,20,21,491,38,171,8678,4368287.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,531.992106
47,0,105,0,0,6,4,9,0,24,846,332,6906,22,21,491,38,171,8680,4368367.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,526.685485
47,0,104,0,0,6,4,9,0,24,846,332,6906,20,21,491,38,170,8678,4343287.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,526.685485
47,0,104,0,0,7,5,9,0,24,846,332,6906,21,21,494,37,172,8681,4393107.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,524.052058
47,0,104,0,0,8,6,9,0,24,846,332,6906,22,21,504,36,174,8691,4442997.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,518.824638
47,0,104,0,0,8,6,9,0,24,846,332,6906,24,21,504,36,174,8693,4443077.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,516.230515
47,0,104,0,0,8,6,9,0,24,846,332,6906,22,21,513,35,174,8699,4442837.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,516.230515
47,0,104,0,0,8,6,9,0,24,846,332,6906,22,21,519,34,174,8704,4442647.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,513.649363
47,0,103,0,0,8,6,9,0,24,842,332,6906,22,21,518,34,173,8699,4417597.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,511.081116
47,0,103,0,0,8,6,9,0,24,836,332,6906,22,21,514,34,173,8689,4417497.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,508.525710
47,0,103,0,0,8,6,9,0,24,832,332,6906,23,21,520,34,173,8692,4417557.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,508.525710
48,0,103,0,0,8,6,9,0,24,832,332,6906,24,21,517,34,174,8690,4442567.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,505.983082
48,0,103,0,0,8,6,9,0,24,832,332,6906,24,21,515,34,174,8688,4442547.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,503.453166
48,0,103,0,0,8,6,9,0,24,832,332,6906,24,21,527,33,174,8699,4442417.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,503.453166
48,0,103,0,0,8,6,9,0,24,832,332,6906,26,21,527,33,174,8701,4442497.000000,54,0,103,0,0,6,5,0,0,30,816,339,6739,18,21,480,41,168,8484,4291914.000000,500.935900
48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,500.935900
48,0,103,0,0,8,6,9,0,24,832,332,6906,24,21,525,33,174,8697,4442397.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,500.935900
48,0,103,0,0,8,6,9,0,24,832,332,6906,24,21,536,32,174,8707,4442257.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,498.431221
48,0,110,0,0,8,6,30,0,24,832,332,6906,24,21,536,32,202,8707,5142257.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,493.459369
48,0,106,0,0,8,6,30,0,24,832,332,6906,24,21,536,32,198,8707,5042257.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,488.537112
48,0,108,0,0,8,6,39,0,23,820,331,6786,24,21,536,32,209,8573,5315931.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,481.245635
45,0,107,0,0,8,6,39,0,23,838,331,6786,24,21,540,32,205,8595,5216151.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,476.445210
48,0,108,0,0,9,7,39,0,23,820,331,6786,25,21,542,31,211,8579,5365781.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,476.445210
48,0,108,0,0,9,7,39,0,23,820,331,6786,25,21,551,30,211,8587,5365621.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,474.062984
48,0,108,0,0,8,7,39,0,23,820,332,6786,25,21,552,30,210,8589,5340632.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,466.987534
48,0,108,0,0,8,7,39,0,23,820,332,6786,27,21,552,30,210,8591,5340712.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,464.652597
48,0,108,0,0,8,7,39,0,23,820,332,6786,25,21,554,30,210,8591,5340652.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,464.652597
48,0,108,0,0,8,7,39,0,23,820,332,6786,25,21,564,29,210,8600,5340502.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,462.329334
48,0,108,0,0,8,7,39,0,23,820,332,6786,27,21,564,29,210,8602,5340582.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,460.017687
48,0,108,0,0,8,7,39,0,23,808,331,6604,25,21,575,29,210,8416,5338671.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,460.017687
48,0,108,0,0,8,7,39,0,23,808,331,6604,27,21,575,29,210,8418,5338751.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,453.151865
48,0,108,0,0,7,7,36,0,23,784,331,6634,25,21,578,29,206,8425,5238761.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,453.151865
48,0,100,0,0,7,7,36,0,23,784,331,6634,25,21,578,29,198,8425,5038761.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,450.886106
47,0,100,0,0,7,7,36,0,23,784,331,6634,25,21,578,29,197,8425,5013761.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,448.631676
47,0,100,0,0,7,7,36,0,19,784,331,6634,25,21,578,29,197,8421,5013741.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,446.388517
47,0,100,0,0,7,7,36,0,19,784,331,6634,25,21,592,28,197,8434,5013631.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,444.156575
47,0,100,0,0,7,7,36,0,19,784,331,6634,25,21,592,28,197,8434,5013631.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,444.156575
47,0,100,0,0,7,7,36,0,19,784,331,6634,27,21,592,28,197,8436,5013711.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,441.935792
47,0,108,0,0,7,7,60,0,19,760,324,6258,25,21,592,28,229,8027,5809624.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,441.935792
47,0,104,0,0,7,7,48,0,19,772,325,6534,25,21,592,28,213,8316,5412505.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,441.935792
47,0,100,0,0,7,7,36,0,19,784,331,6634,25,21,589,28,197,8431,5013601.000000,48,0,100,0,0,9,6,0,0,24,838,337,6960,24,21,519,33,163,8756,4167942.000000,441.935792
